batch_number,field_chunk,num_contracts_in_batch,contract_ids,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
1,all_fields,1,MEDIWOUNDLTD_01_15_2014-EX-10.6-SUPPLY AGREEMENT__Document Name_0,7.659213542938232,2.7748019695281982,14153,0,0,14153,0,1214,1214,0.0,0.0,0.0107185,0.0070765,0.003642
2,all_fields,1,SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules__Document Name_0,3.750443696975708,1.3908157348632812,9705,0,0,9705,0,584,584,0.0,0.0,0.0066045,0.0048525,0.001752
3,all_fields,1,NmfSlfIInc_20200115_10-12GA_EX-10.5_11946987_EX-10.5_Trademark License Agreement__Document Name_0,5.146999359130859,1.3622162342071533,7437,0,0,7437,0,973,973,0.0,0.0,0.0066375,0.0037185,0.002919
4,all_fields,1,KINGPHARMACEUTICALSINC_08_09_2006-EX-10.1-PROMOTION AGREEMENT__Document Name_0,13.347841262817383,1.6221919059753418,40130,0,0,40130,0,2906,2906,0.0,0.0,0.028783,0.020065,0.008718
5,all_fields,1,KALLOINC_11_03_2011-EX-10.1-STRATEGIC ALLIANCE AGREEMENT__Document Name_0,7.076330661773682,1.5013587474822998,20059,0,0,20059,0,1379,1379,0.0,0.0,0.0141665,0.0100295,0.004137
6,all_fields,1,BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT - First Amendment__Document Name_0,3.86238169670105,1.3289902210235596,5244,0,0,5244,0,651,651,0.0,0.0,0.004575,0.002622,0.001953
7,all_fields,1,ExactSciencesCorp_20180822_8-K_EX-10.1_11331629_EX-10.1_Promotion Agreement__Document Name_0,7.930161952972412,1.7438726425170898,37338,0,0,37338,0,1459,1459,0.0,0.0,0.023046,0.018669,0.004377
8,all_fields,1,"GWG HOLDINGS, INC. - ORDERLY MARKETING AGREEMENT__Document Name_0",3.638582229614258,1.360694169998169,9493,0,0,9493,0,601,601,0.0,0.0,0.0065495,0.0047465,0.001803
9,all_fields,1,DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement__Document Name_0,5.207634210586548,1.5786411762237549,7266,0,0,7266,0,936,936,0.0,0.0,0.006441,0.003633,0.002808
10,all_fields,1,NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement__Document Name_0,13.25852656364441,1.762418508529663,23551,0,0,23551,0,2680,2680,0.0,0.0,0.0198155,0.0117755,0.00804
