batch_number,field_chunk,num_contracts_in_batch,contract_ids,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
1,all_fields,2,MEDIWOUNDLTD_01_15_2014-EX-10.6-SUPPLY AGREEMENT__Document Name_0|SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules__Document Name_0,8.202621221542358,1.446885585784912,20189,0,0,20189,0,1592,1592,0.0,0.0,0.0148705,0.0100945,0.004776
2,all_fields,2,NmfSlfIInc_20200115_10-12GA_EX-10.5_11946987_EX-10.5_Trademark License Agreement__Document Name_0|KINGPHARMACEUTICALSINC_08_09_2006-EX-10.1-PROMOTION AGREEMENT__Document Name_0,16.96788191795349,5.0425801277160645,43899,0,0,43899,0,2797,2797,0.0,0.0,0.0303405,0.0219495,0.008391
3,all_fields,2,KALLOINC_11_03_2011-EX-10.1-STRATEGIC ALLIANCE AGREEMENT__Document Name_0|BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT - First Amendment__Document Name_0,8.383102893829346,1.6098995208740234,21633,0,0,21633,0,1673,1673,0.0,0.0,0.0158355,0.0108165,0.005019
4,all_fields,2,"ExactSciencesCorp_20180822_8-K_EX-10.1_11331629_EX-10.1_Promotion Agreement__Document Name_0|GWG HOLDINGS, INC. - ORDERLY MARKETING AGREEMENT__Document Name_0",10.224035024642944,1.8944313526153564,43170,0,0,43170,0,1925,1925,0.0,0.0,0.02736,0.021585,0.005775
5,all_fields,2,DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement__Document Name_0|NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement__Document Name_0,16.583049297332764,1.7935371398925781,27148,0,0,27148,0,3581,3581,0.0,0.0,0.024317,0.013574,0.010743
6,all_fields,2,"OAKTREECAPITALGROUP,LLC_03_02_2020-EX-10.8-Services Agreement__Document Name_0|VERSOTECHNOLOGIESINC_12_28_2007-EX-99.3-INTELLECTUAL PROPERTY AGREEMENT__Document Name_0",6.584428310394287,1.3641510009765625,9341,0,0,9341,0,1178,1178,0.0,0.0,0.0082045,0.0046705,0.003534
7,all_fields,2,AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement1__Document Name_0|RareElementResourcesLtd_20171019_SC 13D_EX-99.4_10897534_EX-99.4_Intellectual Property Agreement__Document Name_0,12.415526151657104,2.367457389831543,69640,0,0,69640,0,2460,2460,0.0,0.0,0.0422,0.03482,0.00738
8,all_fields,2,"BLUEFLYINC_03_27_2002-EX-10.27-e-business Hosting Agreement__Document Name_0|BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT__Document Name_0",9.594051122665405,1.7148804664611816,36780,0,0,36780,0,1923,1923,0.0,0.0,0.024159,0.01839,0.005769
9,all_fields,2,LifewayFoodsInc_20160316_10-K_EX-10.24_9489766_EX-10.24_Endorsement Agreement__Document Name_0|MOELIS_CO_03_24_2014-EX-10.19-STRATEGIC ALLIANCE AGREEMENT__Document Name_0,12.01273250579834,1.5335760116577148,31164,0,0,31164,0,2724,2724,0.0,0.0,0.023754,0.015582,0.008172
10,all_fields,2,"IOVANCEBIOTHERAPEUTICS,INC_08_03_2017-EX-10.1-STRATEGIC ALLIANCE AGREEMENT__Document Name_0|StaarSurgicalCompany_20180801_10-Q_EX-10.37_11289449_EX-10.37_Distributor Agreement__Document Name_0",10.589995384216309,1.610830307006836,27612,0,0,27612,0,2256,2256,0.0,0.0,0.020574,0.013806,0.006768
11,all_fields,2,PFSFUNDS_06_26_2020-EX-99.H OTH MAT CONT-SERVICES AGREEMENT__Document Name_0|WELLSFARGOMORTGAGEBACKEDSECURITIES2006-6TRUST_05_11_2006-EX-10.3-Yield Maintenance Agreement__Document Name_0,6.11339807510376,1.3961541652679443,14422,0,0,14422,0,1158,1158,0.0,0.0,0.010685,0.007211,0.003474
12,all_fields,2,TodosMedicalLtd_20190328_20-F_EX-4.10_11587157_EX-4.10_Marketing Agreement_ Reseller Agreement__Document Name_0|NUVEEN - REMARKETING AGREEMENT__Document Name_0,10.198863983154297,1.9106059074401855,25792,0,0,25792,0,2111,2111,0.0,0.0,0.019229,0.012896,0.006333
13,all_fields,2,ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC ALLIANCE AGREEMENT__Document Name_0|PareteumCorp_20081001_8-K_EX-99.1_2654808_EX-99.1_Hosting Agreement__Document Name_0,9.634365320205688,1.671936273574829,22615,0,0,22615,0,1976,1976,0.0,0.0,0.0172355,0.0113075,0.005928
14,all_fields,2,ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement__Document Name_0|BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT (1)__Document Name_0,11.484062194824219,1.7157049179077148,22474,0,0,22474,0,2254,2254,0.0,0.0,0.017999,0.011237,0.006762
15,all_fields,2,RangeResourcesLouisianaInc_20150417_8-K_EX-10.5_9045501_EX-10.5_Transportation Agreement__Document Name_0|MANAKOASERVICESCORP_11_21_2007-EX-7.5-STRATEGIC ALLIANCE AGREEMENT__Document Name_0,8.899132013320923,1.4888081550598145,28552,0,0,28552,0,1787,1787,0.0,0.0,0.019637,0.014276,0.005361
16,all_fields,2,SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement3__Document Name_0|SENMIAOTECHNOLOGYLTD_02_19_2019-EX-10.5-Collaboration Agreement__Document Name_0,8.114176511764526,8.105592727661133,20231,0,0,20231,0,1613,1613,0.0,0.0,0.0149545,0.0101155,0.004839
17,all_fields,2,WebmdHealthCorp_20050908_S-1A_EX-10.7_1027007_EX-10.7_Content License Agreement__Document Name_0|FLOTEKINDUSTRIESINCCN_05_09_2019-EX-10.1-SUPPLY AGREEMENT__Document Name_0,7.508272647857666,1.4232697486877441,11121,0,0,11121,0,1431,1431,0.0,0.0,0.0098535,0.0055605,0.004293
18,all_fields,2,WARNERCHILCOTTPLC_12_31_2003-EX-4.36-DEVELOPMENT AGREEMENT__Document Name_0|EmmisCommunicationsCorp_20191125_8-K_EX-10.6_11906433_EX-10.6_Marketing Agreement__Document Name_0,8.772326231002808,3.1263339519500732,13589,0,0,13589,0,1413,1413,0.0,0.0,0.0110335,0.0067945,0.004239
19,all_fields,2,"VAXCYTE,INC_05_22_2020-EX-10.19-SUPPLY AGREEMENT__Document Name_0|ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement__Document Name_0",10.414212703704834,1.4638607501983643,27459,0,0,27459,0,2109,2109,0.0,0.0,0.0200565,0.0137295,0.006327
20,all_fields,2,"HOSPITALITYINVESTORSTRUST,INC_04_07_2014-EX-10.26-FRANCHISE AGREEMENT__Document Name_0|EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement__Document Name_0",11.258861064910889,2.1520135402679443,40236,0,0,40236,0,2180,2180,0.0,0.0,0.026658,0.020118,0.00654
21,all_fields,2,InnerscopeHearingTechnologiesInc_20181109_8-K_EX-10.6_11419704_EX-10.6_Distributor Agreement__Document Name_0|VERICELCORP_08_06_2019-EX-10.10-SUPPLY AGREEMENT__Document Name_0,13.157067775726318,3.398622989654541,30237,0,0,30237,0,2643,2643,0.0,0.0,0.0230475,0.0151185,0.007929
22,all_fields,2,Cerus Corporation - FIRST AMEND TO SUPPLY AND MANUFACTURING AGREEMENT__Document Name_0|VgrabCommunicationsInc_20200129_10-K_EX-10.33_11958828_EX-10.33_Development Agreement__Document Name_0,18.840235948562622,1.4729738235473633,9680,0,0,9680,0,978,978,0.0,0.0,0.007774,0.00484,0.002934
23,all_fields,2,"REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT__Document Name_0|KUBIENT,INC_07_02_2020-EX-10.14-MASTER SERVICES AGREEMENT_Part2__Document Name_0",8.052778720855713,1.3526713848114014,8838,0,0,8838,0,1611,1611,0.0,0.0,0.009252,0.004419,0.004833
24,all_fields,2,DRAGONSYSTEMSINC_01_08_1999-EX-10.17-OUTSOURCING AGREEMENT__Document Name_0|WOMENSGOLFUNLIMITEDINC_03_29_2000-EX-10.13-ENDORSEMENT AGREEMENT - Intellectual Property Rights                 Confidentiality and Non-Use Obligations Agreement__Document Name_0,6.262301445007324,1.4073235988616943,6832,0,0,6832,0,1192,1192,0.0,0.0,0.006992,0.003416,0.003576
25,all_fields,2,LECLANCHÉ S.A. - JOINT DEVELOPMENT AND MARKETING AGREEMENT__Document Name_0|WPPPLC_04_30_2020-EX-4.28-SERVICE AGREEMENT__Document Name_0,8.847718000411987,5.103536367416382,21662,0,0,21662,0,1667,1667,0.0,0.0,0.015832,0.010831,0.005001
26,all_fields,2,GentechHoldingsInc_20190808_1-A_EX1A-6 MAT CTRCT_11776814_EX1A-6 MAT CTRCT_Distributor Agreement__Document Name_0|BloomEnergyCorp_20180321_DRSA (on S-1)_EX-10_11240356_EX-10_Maintenance Agreement__Document Name_0,8.90286111831665,1.5627410411834717,32598,0,0,32598,0,1912,1912,0.0,0.0,0.022035,0.016299,0.005736
27,all_fields,2,MOSSIMOINC_04_14_2000-EX-10.14-ENDORSEMENT AGREEMENT__Document Name_0|ULTRAGENYXPHARMACEUTICALINC_12_23_2013-EX-10.9-SUPPLY AGREEMENT__Document Name_0,8.560742616653442,1.4184467792510986,11700,0,0,11700,0,1721,1721,0.0,0.0,0.011013,0.00585,0.005163
28,all_fields,2,RaeSystemsInc_20001114_10-Q_EX-10.57_2631790_EX-10.57_Co-Branding Agreement__Document Name_0|WARNINGMANAGEMENTSERVICESINC_12_10_1999-EX-10-ENDORSEMENT AGREEMENT__Document Name_0,12.174506664276123,1.5185558795928955,20604,0,0,20604,0,2539,2539,0.0,0.0,0.017919,0.010302,0.007617
29,all_fields,2,CcRealEstateIncomeFundadv_20181205_POS 8C_EX-99.(H)(3)_11447739_EX-99.(H)(3)_Marketing Agreement__Document Name_0|ZONDWINDSYSTEMPARTNERSLTDSERIES85-B_04_03_2006-EX-10-MANAGEMENT AND MAINTENANCE AGREEMENT__Document Name_0,5.5060858726501465,1.5101220607757568,12811,0,0,12811,0,1046,1046,0.0,0.0,0.0095435,0.0064055,0.003138
30,all_fields,2,BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement1__Document Name_0|NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT__Document Name_0,8.703160047531128,1.5048847198486328,12744,0,0,12744,0,1662,1662,0.0,0.0,0.011358,0.006372,0.004986
31,all_fields,2,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT__Document Name_0|SFGFINANCIALCORP_05_12_2009-EX-10.1-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT__Document Name_0,11.25558876991272,2.2302744388580322,25289,0,0,25289,0,2321,2321,0.0,0.0,0.0196075,0.0126445,0.006963
32,all_fields,2,"MERCATAINC_03_09_2000-EX-10.21-SPONSORSHIP AGREEMENT__Document Name_0|CARDAX,INC_08_19_2014-EX-10.1-COLLABORATION AGREEMENT__Document Name_0",8.369787693023682,1.539231300354004,20639,0,0,20639,0,1670,1670,0.0,0.0,0.0153295,0.0103195,0.00501
33,all_fields,2,GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement4__Document Name_0|OLDAPIWIND-DOWNLTD_01_08_2016-EX-1.3-AGENCY AGREEMENT2__Document Name_0,4.481458902359009,1.3263883590698242,5209,0,0,5209,0,820,820,0.0,0.0,0.0050645,0.0026045,0.00246
34,all_fields,2,"MARSHALLHOLDINGSINTERNATIONAL,INC_04_14_2004-EX-10.15-ENDORSEMENT AGREEMENT__Document Name_0|FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement__Document Name_0",7.702456474304199,1.6391160488128662,13655,0,0,13655,0,1526,1526,0.0,0.0,0.0114055,0.0068275,0.004578
35,all_fields,2,BLACKSTONEGSOLONG-SHORTCREDITINCOMEFUND_05_11_2020-EX-99.(K)(1)-SERVICE AGREEMENT__Document Name_0|DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT__Document Name_0,7.1651246547698975,1.4878795146942139,16480,0,0,16480,0,1341,1341,0.0,0.0,0.012263,0.00824,0.004023
36,all_fields,2,"MIDDLEBROOKPHARMACEUTICALS,INC_03_18_2010-EX-10.1-PROMOTION AGREEMENT__Document Name_0|WORLDWIDESTRATEGIESINC_11_02_2005-EX-10-RESELLER AGREEMENT__Document Name_0",10.083613872528076,2.027583360671997,32350,0,0,32350,0,1889,1889,0.0,0.0,0.021842,0.016175,0.005667
37,all_fields,2,"SOLUTIONSVENDINGINTERNATIONAL,INC_03_31_2020-EX1A-1 UNDR AGMT-SERVICES AGREEMENT__Document Name_0|VnueInc_20150914_8-K_EX-10.1_9259571_EX-10.1_Promotion Agreement__Document Name_0",4.709536790847778,1.339418888092041,7505,0,0,7505,0,827,827,0.0,0.0,0.0062335,0.0037525,0.002481
