batch_number,field_chunk,num_contracts_in_batch,contract_ids,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
1,all_fields,1,MEDIWOUNDLTD_01_15_2014-EX-10.6-SUPPLY AGREEMENT__Document Name_0,15.152861595153809,1.3413729667663574,12919,0,0,12919,0,1757,1757,0.0,0.0,0.0586525,0.0322975,0.026355
2,all_fields,1,SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules__Document Name_0,8.21274995803833,0.8272879123687744,8084,0,0,8084,0,796,796,0.0,0.0,0.03215,0.02021,0.01194
3,all_fields,1,NmfSlfIInc_20200115_10-12GA_EX-10.5_11946987_EX-10.5_Trademark License Agreement__Document Name_0,11.939048528671265,0.9062864780426025,6145,0,0,6145,0,1286,1286,0.0,0.0,0.0346525,0.0153625,0.01929
4,all_fields,1,KINGPHARMACEUTICALSINC_08_09_2006-EX-10.1-PROMOTION AGREEMENT__Document Name_0,38.17674231529236,5.345689535140991,37702,0,0,37702,0,3032,3032,0.0,0.0,0.139735,0.094255,0.04548
5,all_fields,1,KALLOINC_11_03_2011-EX-10.1-STRATEGIC ALLIANCE AGREEMENT__Document Name_0,23.104613542556763,3.7488231658935547,18331,0,0,18331,0,2109,2109,0.0,0.0,0.0774625,0.0458275,0.031635
6,all_fields,1,BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT - First Amendment__Document Name_0,8.110085725784302,1.155484676361084,4000,0,0,4000,0,933,933,0.0,0.0,0.023995,0.01,0.013995
7,all_fields,1,ExactSciencesCorp_20180822_8-K_EX-10.1_11331629_EX-10.1_Promotion Agreement__Document Name_0,25.426148176193237,1.4490783214569092,35343,0,0,35343,0,2673,2673,0.0,0.0,0.1284525,0.0883575,0.040095
8,all_fields,1,"GWG HOLDINGS, INC. - ORDERLY MARKETING AGREEMENT__Document Name_0",12.845316886901855,1.2925052642822266,8300,0,0,8300,0,1229,1229,0.0,0.0,0.039185,0.02075,0.018435
9,all_fields,1,DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement__Document Name_0,9.526053667068481,0.8786921501159668,5899,0,0,5899,0,973,973,0.0,0.0,0.0293425,0.0147475,0.014595
10,all_fields,1,NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement__Document Name_0,39.698461294174194,4.527950048446655,21926,0,0,21926,0,3919,3919,0.0,0.0,0.1136,0.054815,0.058785
11,all_fields,1,"OAKTREECAPITALGROUP,LLC_03_02_2020-EX-10.8-Services Agreement__Document Name_0",33.49460220336914,0.8762218952178955,6857,0,0,6857,0,1109,1109,0.0,0.0,0.0337775,0.0171425,0.016635
12,all_fields,1,VERSOTECHNOLOGIESINC_12_28_2007-EX-99.3-INTELLECTUAL PROPERTY AGREEMENT__Document Name_0,14.80118465423584,1.0972981452941895,3580,0,0,3580,0,491,491,0.0,0.0,0.016315,0.00895,0.007365
13,all_fields,1,AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement1__Document Name_0,25.503365993499756,2.0619049072265625,59455,0,0,59455,0,2651,2651,0.0,0.0,0.1884025,0.1486375,0.039765
14,all_fields,1,RareElementResourcesLtd_20171019_SC 13D_EX-99.4_10897534_EX-99.4_Intellectual Property Agreement__Document Name_0,29.32485866546631,0.8067097663879395,9984,0,0,9984,0,3086,3086,0.0,0.0,0.07125,0.02496,0.04629
15,all_fields,1,BLUEFLYINC_03_27_2002-EX-10.27-e-business Hosting Agreement__Document Name_0,18.344318628311157,0.9359452724456787,9513,0,0,9513,0,1620,1620,0.0,0.0,0.0480825,0.0237825,0.0243
16,all_fields,1,"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT__Document Name_0",11.247055530548096,1.7402970790863037,27834,0,0,27834,0,1160,1160,0.0,0.0,0.086985,0.069585,0.0174
17,all_fields,1,LifewayFoodsInc_20160316_10-K_EX-10.24_9489766_EX-10.24_Endorsement Agreement__Document Name_0,14.68731427192688,2.480109453201294,4778,0,0,4778,0,1246,1246,0.0,0.0,0.030635,0.011945,0.01869
18,all_fields,1,MOELIS_CO_03_24_2014-EX-10.19-STRATEGIC ALLIANCE AGREEMENT__Document Name_0,17.779968976974487,1.2854194641113281,27424,0,0,27424,0,1831,1831,0.0,0.0,0.096025,0.06856,0.027465
19,all_fields,1,"IOVANCEBIOTHERAPEUTICS,INC_08_03_2017-EX-10.1-STRATEGIC ALLIANCE AGREEMENT__Document Name_0",16.18225860595703,1.171581506729126,16291,0,0,16291,0,1599,1599,0.0,0.0,0.0647125,0.0407275,0.023985
20,all_fields,1,StaarSurgicalCompany_20180801_10-Q_EX-10.37_11289449_EX-10.37_Distributor Agreement__Document Name_0,27.448400259017944,0.8041167259216309,12410,0,0,12410,0,2885,2885,0.0,0.0,0.0743,0.031025,0.043275
21,all_fields,1,PFSFUNDS_06_26_2020-EX-99.H OTH MAT CONT-SERVICES AGREEMENT__Document Name_0,8.057147741317749,0.8383307456970215,5489,0,0,5489,0,870,870,0.0,0.0,0.0267725,0.0137225,0.01305
22,all_fields,1,WELLSFARGOMORTGAGEBACKEDSECURITIES2006-6TRUST_05_11_2006-EX-10.3-Yield Maintenance Agreement__Document Name_0,12.071313858032227,0.8585238456726074,9917,0,0,9917,0,1278,1278,0.0,0.0,0.0439625,0.0247925,0.01917
23,all_fields,1,TodosMedicalLtd_20190328_20-F_EX-4.10_11587157_EX-4.10_Marketing Agreement_ Reseller Agreement__Document Name_0,12.975320100784302,1.1095988750457764,9221,0,0,9221,0,1661,1661,0.0,0.0,0.0479675,0.0230525,0.024915
24,all_fields,1,NUVEEN - REMARKETING AGREEMENT__Document Name_0,19.364200592041016,1.040113925933838,17447,0,0,17447,0,2163,2163,0.0,0.0,0.0760625,0.0436175,0.032445
25,all_fields,1,ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC ALLIANCE AGREEMENT__Document Name_0,14.065651655197144,0.8180320262908936,6394,0,0,6394,0,1372,1372,0.0,0.0,0.036565,0.015985,0.02058
26,all_fields,1,PareteumCorp_20081001_8-K_EX-99.1_2654808_EX-99.1_Hosting Agreement__Document Name_0,16.755434274673462,1.0669662952423096,16786,0,0,16786,0,1872,1872,0.0,0.0,0.070045,0.041965,0.02808
27,all_fields,1,ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement__Document Name_0,22.224751710891724,1.176041603088379,12645,0,0,12645,0,2138,2138,0.0,0.0,0.0636825,0.0316125,0.03207
28,all_fields,1,BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT (1)__Document Name_0,21.896109104156494,0.8463747501373291,10841,0,0,10841,0,2018,2018,0.0,0.0,0.0573725,0.0271025,0.03027
29,all_fields,1,RangeResourcesLouisianaInc_20150417_8-K_EX-10.5_9045501_EX-10.5_Transportation Agreement__Document Name_0,12.93848204612732,1.0174195766448975,23895,0,0,23895,0,1459,1459,0.0,0.0,0.0816225,0.0597375,0.021885
30,all_fields,1,MANAKOASERVICESCORP_11_21_2007-EX-7.5-STRATEGIC ALLIANCE AGREEMENT__Document Name_0,11.16042709350586,0.9621391296386719,5627,0,0,5627,0,1025,1025,0.0,0.0,0.0294425,0.0140675,0.015375
31,all_fields,1,SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement3__Document Name_0,4.700918674468994,1.0489256381988525,3183,0,0,3183,0,382,382,0.0,0.0,0.0136875,0.0079575,0.00573
32,all_fields,1,SENMIAOTECHNOLOGYLTD_02_19_2019-EX-10.5-Collaboration Agreement__Document Name_0,21.229089498519897,1.0575428009033203,17782,0,0,17782,0,2123,2123,0.0,0.0,0.0763,0.044455,0.031845
33,all_fields,1,WebmdHealthCorp_20050908_S-1A_EX-10.7_1027007_EX-10.7_Content License Agreement__Document Name_0,8.942704916000366,1.1370563507080078,5679,0,0,5679,0,874,874,0.0,0.0,0.0273075,0.0141975,0.01311
34,all_fields,1,FLOTEKINDUSTRIESINCCN_05_09_2019-EX-10.1-SUPPLY AGREEMENT__Document Name_0,13.51812481880188,0.9427664279937744,6467,0,0,6467,0,1439,1439,0.0,0.0,0.0377525,0.0161675,0.021585
35,all_fields,1,WARNERCHILCOTTPLC_12_31_2003-EX-4.36-DEVELOPMENT AGREEMENT__Document Name_0,19.509711503982544,0.9340171813964844,8375,0,0,8375,0,2078,2078,0.0,0.0,0.0521075,0.0209375,0.03117
36,all_fields,1,EmmisCommunicationsCorp_20191125_8-K_EX-10.6_11906433_EX-10.6_Marketing Agreement__Document Name_0,8.549550533294678,0.8166589736938477,6184,0,0,6184,0,898,898,0.0,0.0,0.02893,0.01546,0.01347
37,all_fields,1,"VAXCYTE,INC_05_22_2020-EX-10.19-SUPPLY AGREEMENT__Document Name_0",22.405376434326172,1.4371371269226074,23278,0,0,23278,0,2518,2518,0.0,0.0,0.095965,0.058195,0.03777
38,all_fields,1,ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement__Document Name_0,4.552058696746826,0.7530086040496826,5120,0,0,5120,0,466,466,0.0,0.0,0.01979,0.0128,0.00699
39,all_fields,1,"HOSPITALITYINVESTORSTRUST,INC_04_07_2014-EX-10.26-FRANCHISE AGREEMENT__Document Name_0",37.23367714881897,1.334134578704834,34724,0,0,34724,0,3884,3884,0.0,0.0,0.14507,0.08681,0.05826
40,all_fields,1,EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement__Document Name_0,10.274567365646362,0.6971175670623779,6203,0,0,6203,0,1099,1099,0.0,0.0,0.0319925,0.0155075,0.016485
41,all_fields,1,InnerscopeHearingTechnologiesInc_20181109_8-K_EX-10.6_11419704_EX-10.6_Distributor Agreement__Document Name_0,14.500381708145142,0.7758963108062744,6939,0,0,6939,0,1448,1448,0.0,0.0,0.0390675,0.0173475,0.02172
42,all_fields,1,VERICELCORP_08_06_2019-EX-10.10-SUPPLY AGREEMENT__Document Name_0,25.06189465522766,1.6543490886688232,24015,0,0,24015,0,2885,2885,0.0,0.0,0.1033125,0.0600375,0.043275
43,all_fields,1,Cerus Corporation - FIRST AMEND TO SUPPLY AND MANUFACTURING AGREEMENT__Document Name_0,6.596197128295898,0.7226095199584961,5002,0,0,5002,0,744,744,0.0,0.0,0.023665,0.012505,0.01116
44,all_fields,1,VgrabCommunicationsInc_20200129_10-K_EX-10.33_11958828_EX-10.33_Development Agreement__Document Name_0,8.249234914779663,0.8733882904052734,5814,0,0,5814,0,820,820,0.0,0.0,0.026835,0.014535,0.0123
45,all_fields,1,REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT__Document Name_0,8.902140140533447,0.703488826751709,5683,0,0,5683,0,956,956,0.0,0.0,0.0285475,0.0142075,0.01434
