batch_number,field_chunk,num_contracts_in_batch,contract_ids,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
1,all_fields,2,MEDIWOUNDLTD_01_15_2014-EX-10.6-SUPPLY AGREEMENT__Document Name_0|SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules__Document Name_0,26.165552616119385,3.7157678604125977,18535,0,0,18535,0,2683,2683,0.0,0.0,0.0865825,0.0463375,0.040245
2,all_fields,2,NmfSlfIInc_20200115_10-12GA_EX-10.5_11946987_EX-10.5_Trademark License Agreement__Document Name_0|KINGPHARMACEUTICALSINC_08_09_2006-EX-10.1-PROMOTION AGREEMENT__Document Name_0,41.21831297874451,2.7999908924102783,41379,0,0,41379,0,4324,4324,0.0,0.0,0.1683075,0.1034475,0.06486
3,all_fields,2,KALLOINC_11_03_2011-EX-10.1-STRATEGIC ALLIANCE AGREEMENT__Document Name_0|BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT - First Amendment__Document Name_0,24.923601388931274,0.8668739795684814,19861,0,0,19861,0,2809,2809,0.0,0.0,0.0917875,0.0496525,0.042135
4,all_fields,2,"ExactSciencesCorp_20180822_8-K_EX-10.1_11331629_EX-10.1_Promotion Agreement__Document Name_0|GWG HOLDINGS, INC. - ORDERLY MARKETING AGREEMENT__Document Name_0",42.60957455635071,8.665938377380371,41173,0,0,41173,0,3798,3798,0.0,0.0,0.1599025,0.1029325,0.05697
5,all_fields,2,DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement__Document Name_0|NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement__Document Name_0,51.592514514923096,2.900607109069824,25357,0,0,25357,0,5264,5264,0.0,0.0,0.1423525,0.0633925,0.07896
6,all_fields,2,"OAKTREECAPITALGROUP,LLC_03_02_2020-EX-10.8-Services Agreement__Document Name_0|VERSOTECHNOLOGIESINC_12_28_2007-EX-99.3-INTELLECTUAL PROPERTY AGREEMENT__Document Name_0",16.32863473892212,0.8291902542114258,7963,0,0,7963,0,1665,1665,0.0,0.0,0.0448825,0.0199075,0.024975
7,all_fields,2,AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement1__Document Name_0|RareElementResourcesLtd_20171019_SC 13D_EX-99.4_10897534_EX-99.4_Intellectual Property Agreement__Document Name_0,48.41598725318909,1.7353715896606445,66969,0,0,66969,0,5583,5583,0.0,0.0,0.2511675,0.1674225,0.083745
8,all_fields,2,"BLUEFLYINC_03_27_2002-EX-10.27-e-business Hosting Agreement__Document Name_0|BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT__Document Name_0",26.81668496131897,1.5931522846221924,34878,0,0,34878,0,2621,2621,0.0,0.0,0.12651,0.087195,0.039315
9,all_fields,2,LifewayFoodsInc_20160316_10-K_EX-10.24_9489766_EX-10.24_Endorsement Agreement__Document Name_0|MOELIS_CO_03_24_2014-EX-10.19-STRATEGIC ALLIANCE AGREEMENT__Document Name_0,27.073306798934937,2.740264415740967,29729,0,0,29729,0,2841,2841,0.0,0.0,0.1169375,0.0743225,0.042615
10,all_fields,2,"IOVANCEBIOTHERAPEUTICS,INC_08_03_2017-EX-10.1-STRATEGIC ALLIANCE AGREEMENT__Document Name_0|StaarSurgicalCompany_20180801_10-Q_EX-10.37_11289449_EX-10.37_Distributor Agreement__Document Name_0",40.56832194328308,2.895914316177368,26222,0,0,26222,0,4141,4141,0.0,0.0,0.12767,0.065555,0.062115
