batch_number,field_chunk,num_contracts_in_batch,contract_ids,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
1,all_fields,5,MEDIWOUNDLTD_01_15_2014-EX-10.6-SUPPLY AGREEMENT__Document Name_0|SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules__Document Name_0|NmfSlfIInc_20200115_10-12GA_EX-10.5_11946987_EX-10.5_Trademark License Agreement__Document Name_0|KINGPHARMACEUTICALSINC_08_09_2006-EX-10.1-PROMOTION AGREEMENT__Document Name_0|KALLOINC_11_03_2011-EX-10.1-STRATEGIC ALLIANCE AGREEMENT__Document Name_0,66.44448065757751,1.9968698024749756,73309,0,0,73309,0,7146,7146,0.0,0.0,0.2904625,0.1832725,0.10719
2,all_fields,5,"BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT - First Amendment__Document Name_0|ExactSciencesCorp_20180822_8-K_EX-10.1_11331629_EX-10.1_Promotion Agreement__Document Name_0|GWG HOLDINGS, INC. - ORDERLY MARKETING AGREEMENT__Document Name_0|DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement__Document Name_0|NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement__Document Name_0",69.78372955322266,3.3977608680725098,65592,0,0,65592,0,7300,7300,0.0,0.0,0.27348,0.16398,0.1095
3,all_fields,5,"OAKTREECAPITALGROUP,LLC_03_02_2020-EX-10.8-Services Agreement__Document Name_0|VERSOTECHNOLOGIESINC_12_28_2007-EX-99.3-INTELLECTUAL PROPERTY AGREEMENT__Document Name_0|AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement1__Document Name_0|RareElementResourcesLtd_20171019_SC 13D_EX-99.4_10897534_EX-99.4_Intellectual Property Agreement__Document Name_0|BLUEFLYINC_03_27_2002-EX-10.27-e-business Hosting Agreement__Document Name_0",96.82556462287903,4.854705333709717,79520,0,0,79520,0,9230,9230,0.0,0.0,0.33725,0.1988,0.13845
4,all_fields,5,"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT__Document Name_0|LifewayFoodsInc_20160316_10-K_EX-10.24_9489766_EX-10.24_Endorsement Agreement__Document Name_0|MOELIS_CO_03_24_2014-EX-10.19-STRATEGIC ALLIANCE AGREEMENT__Document Name_0|IOVANCEBIOTHERAPEUTICS,INC_08_03_2017-EX-10.1-STRATEGIC ALLIANCE AGREEMENT__Document Name_0|StaarSurgicalCompany_20180801_10-Q_EX-10.37_11289449_EX-10.37_Distributor Agreement__Document Name_0",62.326444149017334,2.8638641834259033,78843,0,0,78843,0,6307,6307,0.0,0.0,0.2917125,0.1971075,0.094605
5,all_fields,5,PFSFUNDS_06_26_2020-EX-99.H OTH MAT CONT-SERVICES AGREEMENT__Document Name_0|WELLSFARGOMORTGAGEBACKEDSECURITIES2006-6TRUST_05_11_2006-EX-10.3-Yield Maintenance Agreement__Document Name_0|TodosMedicalLtd_20190328_20-F_EX-4.10_11587157_EX-4.10_Marketing Agreement_ Reseller Agreement__Document Name_0|NUVEEN - REMARKETING AGREEMENT__Document Name_0|ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC ALLIANCE AGREEMENT__Document Name_0,41.93018651008606,1.6927971839904785,38596,0,0,38596,0,4786,4786,0.0,0.0,0.16828,0.09649,0.07179
6,all_fields,5,PareteumCorp_20081001_8-K_EX-99.1_2654808_EX-99.1_Hosting Agreement__Document Name_0|ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement__Document Name_0|BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT (1)__Document Name_0|RangeResourcesLouisianaInc_20150417_8-K_EX-10.5_9045501_EX-10.5_Transportation Agreement__Document Name_0|MANAKOASERVICESCORP_11_21_2007-EX-7.5-STRATEGIC ALLIANCE AGREEMENT__Document Name_0,74.53384208679199,1.851383924484253,59914,0,0,59914,0,7276,7276,0.0,0.0,0.258925,0.149785,0.10914
7,all_fields,5,SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement3__Document Name_0|SENMIAOTECHNOLOGYLTD_02_19_2019-EX-10.5-Collaboration Agreement__Document Name_0|WebmdHealthCorp_20050908_S-1A_EX-10.7_1027007_EX-10.7_Content License Agreement__Document Name_0|FLOTEKINDUSTRIESINCCN_05_09_2019-EX-10.1-SUPPLY AGREEMENT__Document Name_0|WARNERCHILCOTTPLC_12_31_2003-EX-4.36-DEVELOPMENT AGREEMENT__Document Name_0,54.135318994522095,3.5397531986236572,31615,0,0,31615,0,5003,5003,0.0,0.0,0.1540825,0.0790375,0.075045
8,all_fields,5,"EmmisCommunicationsCorp_20191125_8-K_EX-10.6_11906433_EX-10.6_Marketing Agreement__Document Name_0|VAXCYTE,INC_05_22_2020-EX-10.19-SUPPLY AGREEMENT__Document Name_0|ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement__Document Name_0|HOSPITALITYINVESTORSTRUST,INC_04_07_2014-EX-10.26-FRANCHISE AGREEMENT__Document Name_0|EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement__Document Name_0",59.745123863220215,2.435565948486328,65633,0,0,65633,0,6057,6057,0.0,0.0,0.2549375,0.1640825,0.090855
9,all_fields,5,InnerscopeHearingTechnologiesInc_20181109_8-K_EX-10.6_11419704_EX-10.6_Distributor Agreement__Document Name_0|VERICELCORP_08_06_2019-EX-10.10-SUPPLY AGREEMENT__Document Name_0|Cerus Corporation - FIRST AMEND TO SUPPLY AND MANUFACTURING AGREEMENT__Document Name_0|VgrabCommunicationsInc_20200129_10-K_EX-10.33_11958828_EX-10.33_Development Agreement__Document Name_0|REWALKROBOTICSLTD_07_10_2014-EX-10.2-STRATEGIC ALLIANCE AGREEMENT__Document Name_0,58.94497227668762,4.296247959136963,37581,0,0,37581,0,6144,6144,0.0,0.0,0.1861125,0.0939525,0.09216
10,all_fields,5,"KUBIENT,INC_07_02_2020-EX-10.14-MASTER SERVICES AGREEMENT_Part2__Document Name_0|DRAGONSYSTEMSINC_01_08_1999-EX-10.17-OUTSOURCING AGREEMENT__Document Name_0|WOMENSGOLFUNLIMITEDINC_03_29_2000-EX-10.13-ENDORSEMENT AGREEMENT - Intellectual Property Rights                 Confidentiality and Non-Use Obligations Agreement__Document Name_0|LECLANCHÉ S.A. - JOINT DEVELOPMENT AND MARKETING AGREEMENT__Document Name_0|WPPPLC_04_30_2020-EX-4.28-SERVICE AGREEMENT__Document Name_0",42.66207551956177,1.0350570678710938,24736,0,0,24736,0,4147,4147,0.0,0.0,0.124045,0.06184,0.062205
