batch_number,field_chunk,num_contracts_in_batch,contract_ids,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
1,all_fields,1,MEDIWOUNDLTD_01_15_2014-EX-10.6-SUPPLY AGREEMENT__Document Name_0,11.344710350036621,1.9219448566436768,12924,0,0,12924,0,1620,1620,0.0,0.0,0.0046098,0.0025848,0.002025
2,all_fields,1,SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules__Document Name_0,5.533712387084961,0.726384162902832,8085,0,0,8085,0,638,638,0.0,0.0,0.0024145,0.001617,0.0007975
3,all_fields,1,NmfSlfIInc_20200115_10-12GA_EX-10.5_11946987_EX-10.5_Trademark License Agreement__Document Name_0,8.449379444122314,0.6408600807189941,6148,0,0,6148,0,1102,1102,0.0,0.0,0.0026071,0.0012296,0.0013775
4,all_fields,1,KINGPHARMACEUTICALSINC_08_09_2006-EX-10.1-PROMOTION AGREEMENT__Document Name_0,15.062494039535522,0.856107234954834,37699,0,0,37699,0,2432,2432,0.0,0.0,0.0105798,0.0075398,0.00304
5,all_fields,1,KALLOINC_11_03_2011-EX-10.1-STRATEGIC ALLIANCE AGREEMENT__Document Name_0,13.426362037658691,0.5808477401733398,18324,0,0,18324,0,2326,2326,0.0,0.0,0.0065723,0.0036648,0.0029075
6,all_fields,1,BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT - First Amendment__Document Name_0,2.6406397819519043,0.44666504859924316,4001,0,0,4001,0,394,394,0.0,0.0,0.0012927,0.0008002,0.0004925
7,all_fields,1,ExactSciencesCorp_20180822_8-K_EX-10.1_11331629_EX-10.1_Promotion Agreement__Document Name_0,11.695557117462158,0.8793034553527832,35340,0,0,35340,0,1863,1863,0.0,0.0,0.00939675,0.007068,0.00232875
8,all_fields,1,"GWG HOLDINGS, INC. - ORDERLY MARKETING AGREEMENT__Document Name_0",9.621081829071045,0.6022036075592041,8298,0,0,8298,0,1368,1368,0.0,0.0,0.0033696,0.0016596,0.00171
9,all_fields,1,DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement__Document Name_0,8.223016262054443,0.541881799697876,5898,0,0,5898,0,1089,1089,0.0,0.0,0.00254085,0.0011796,0.00136125
10,all_fields,1,NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement__Document Name_0,14.567984580993652,0.7409834861755371,21926,0,0,21926,0,2073,2073,0.0,0.0,0.00697645,0.0043852,0.00259125
11,all_fields,1,"OAKTREECAPITALGROUP,LLC_03_02_2020-EX-10.8-Services Agreement__Document Name_0",6.323065757751465,0.5159268379211426,6854,0,0,6854,0,801,801,0.0,0.0,0.00237205,0.0013708,0.00100125
12,all_fields,1,VERSOTECHNOLOGIESINC_12_28_2007-EX-99.3-INTELLECTUAL PROPERTY AGREEMENT__Document Name_0,4.976802349090576,0.49603986740112305,3582,0,0,3582,0,546,546,0.0,0.0,0.0013989,0.0007164,0.0006825
13,all_fields,1,AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement1__Document Name_0,13.321091651916504,1.1216962337493896,59456,0,0,59456,0,1575,1575,0.0,0.0,0.01385995,0.0118912,0.00196875
