batch_number,field_chunk,num_contracts_in_batch,contract_ids,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
1,all_fields,1,MEDIWOUNDLTD_01_15_2014-EX-10.6-SUPPLY AGREEMENT__Document Name_0,22.273952960968018,2.656550168991089,13328,0,0,13328,0,2169,2169,0.0,0.0,0.024173,0.013328,0.010845
2,all_fields,1,SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules__Document Name_0,7.030289649963379,0.8799197673797607,8545,0,0,8545,0,859,859,0.0,0.0,0.01284,0.008545,0.004295
3,all_fields,1,NmfSlfIInc_20200115_10-12GA_EX-10.5_11946987_EX-10.5_Trademark License Agreement__Document Name_0,14.105962991714478,0.8435120582580566,5992,0,0,5992,0,1777,1777,0.0,0.0,0.014877,0.005992,0.008885
4,all_fields,1,KINGPHARMACEUTICALSINC_08_09_2006-EX-10.1-PROMOTION AGREEMENT__Document Name_0,26.384352207183838,1.5438814163208008,40917,0,0,40917,0,3064,3064,0.0,0.0,0.056237,0.040917,0.01532
5,all_fields,1,KALLOINC_11_03_2011-EX-10.1-STRATEGIC ALLIANCE AGREEMENT__Document Name_0,24.169968843460083,1.238556146621704,19716,0,0,19716,0,2451,2451,0.0,0.0,0.031971,0.019716,0.012255
6,all_fields,1,BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT - First Amendment__Document Name_0,5.301630020141602,0.8258302211761475,3735,0,0,3735,0,693,693,0.0,0.0,0.0072,0.003735,0.003465
7,all_fields,1,ExactSciencesCorp_20180822_8-K_EX-10.1_11331629_EX-10.1_Promotion Agreement__Document Name_0,39.280517578125,1.4717082977294922,38587,0,0,38587,0,3332,3332,0.0,0.0,0.055247,0.038587,0.01666
8,all_fields,1,"GWG HOLDINGS, INC. - ORDERLY MARKETING AGREEMENT__Document Name_0",8.600927829742432,1.1430652141571045,8628,0,0,8628,0,949,949,0.0,0.0,0.013373,0.008628,0.004745
9,all_fields,1,DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement__Document Name_0,9.536184787750244,0.9714846611022949,5668,0,0,5668,0,1057,1057,0.0,0.0,0.010953,0.005668,0.005285
10,all_fields,1,NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement__Document Name_0,33.384257555007935,1.6882493495941162,24827,0,0,24827,0,4659,4659,0.0,0.0,0.048122,0.024827,0.023295
11,all_fields,1,"OAKTREECAPITALGROUP,LLC_03_02_2020-EX-10.8-Services Agreement__Document Name_0",10.500581502914429,0.9136872291564941,6954,0,0,6954,0,1211,1211,0.0,0.0,0.013009,0.006954,0.006055
12,all_fields,1,VERSOTECHNOLOGIESINC_12_28_2007-EX-99.3-INTELLECTUAL PROPERTY AGREEMENT__Document Name_0,5.630424499511719,1.1037886142730713,3228,0,0,3228,0,647,647,0.0,0.0,0.006463,0.003228,0.003235
