batch_number,field_chunk,num_contracts_in_batch,contract_ids,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
1,all_fields,2,MEDIWOUNDLTD_01_15_2014-EX-10.6-SUPPLY AGREEMENT__Document Name_0|SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules__Document Name_0,20.89172077178955,1.3951380252838135,19891,0,0,19891,0,2417,2417,0.0,0.0,0.031976,0.019891,0.012085
2,all_fields,2,NmfSlfIInc_20200115_10-12GA_EX-10.5_11946987_EX-10.5_Trademark License Agreement__Document Name_0|KINGPHARMACEUTICALSINC_08_09_2006-EX-10.1-PROMOTION AGREEMENT__Document Name_0,36.6712749004364,2.052919626235962,44923,0,0,44923,0,4505,4505,0.0,0.0,0.067448,0.044923,0.022525
3,all_fields,2,KALLOINC_11_03_2011-EX-10.1-STRATEGIC ALLIANCE AGREEMENT__Document Name_0|BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT - First Amendment__Document Name_0,22.558653116226196,1.4498348236083984,21468,0,0,21468,0,2520,2520,0.0,0.0,0.034068,0.021468,0.0126
4,all_fields,2,"ExactSciencesCorp_20180822_8-K_EX-10.1_11331629_EX-10.1_Promotion Agreement__Document Name_0|GWG HOLDINGS, INC. - ORDERLY MARKETING AGREEMENT__Document Name_0",30.31110405921936,1.8936946392059326,45236,0,0,45236,0,3534,3534,0.0,0.0,0.062906,0.045236,0.01767
5,all_fields,2,DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement__Document Name_0|NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement__Document Name_0,38.001081705093384,1.92808198928833,28512,0,0,28512,0,5293,5293,0.0,0.0,0.054977,0.028512,0.026465
6,all_fields,2,"OAKTREECAPITALGROUP,LLC_03_02_2020-EX-10.8-Services Agreement__Document Name_0|VERSOTECHNOLOGIESINC_12_28_2007-EX-99.3-INTELLECTUAL PROPERTY AGREEMENT__Document Name_0",12.209976196289062,1.1058108806610107,8197,0,0,8197,0,1625,1625,0.0,0.0,0.016322,0.008197,0.008125
7,all_fields,2,AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement1__Document Name_0|RareElementResourcesLtd_20171019_SC 13D_EX-99.4_10897534_EX-99.4_Intellectual Property Agreement__Document Name_0,27.021098852157593,1.8836872577667236,75757,0,0,75757,0,3102,3102,0.0,0.0,0.091267,0.075757,0.01551
8,all_fields,2,"BLUEFLYINC_03_27_2002-EX-10.27-e-business Hosting Agreement__Document Name_0|BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT__Document Name_0",20.72987937927246,1.7147552967071533,37862,0,0,37862,0,2651,2651,0.0,0.0,0.051117,0.037862,0.013255
9,all_fields,2,LifewayFoodsInc_20160316_10-K_EX-10.24_9489766_EX-10.24_Endorsement Agreement__Document Name_0|MOELIS_CO_03_24_2014-EX-10.19-STRATEGIC ALLIANCE AGREEMENT__Document Name_0,28.183292865753174,1.3005390167236328,32416,0,0,32416,0,3446,3446,0.0,0.0,0.049646,0.032416,0.01723
10,all_fields,2,"IOVANCEBIOTHERAPEUTICS,INC_08_03_2017-EX-10.1-STRATEGIC ALLIANCE AGREEMENT__Document Name_0|StaarSurgicalCompany_20180801_10-Q_EX-10.37_11289449_EX-10.37_Distributor Agreement__Document Name_0",29.574493408203125,2.039522409439087,28267,0,0,28267,0,3674,3674,0.0,0.0,0.046637,0.028267,0.01837
11,all_fields,2,PFSFUNDS_06_26_2020-EX-99.H OTH MAT CONT-SERVICES AGREEMENT__Document Name_0|WELLSFARGOMORTGAGEBACKEDSECURITIES2006-6TRUST_05_11_2006-EX-10.3-Yield Maintenance Agreement__Document Name_0,16.13238763809204,1.0343449115753174,13771,0,0,13771,0,1997,1997,0.0,0.0,0.023756,0.013771,0.009985
12,all_fields,2,TodosMedicalLtd_20190328_20-F_EX-4.10_11587157_EX-4.10_Marketing Agreement_ Reseller Agreement__Document Name_0|NUVEEN - REMARKETING AGREEMENT__Document Name_0,25.801541090011597,1.3282544612884521,26858,0,0,26858,0,3256,3256,0.0,0.0,0.043138,0.026858,0.01628
13,all_fields,2,ORBSATCORP_08_17_2007-EX-7.3-STRATEGIC ALLIANCE AGREEMENT__Document Name_0|PareteumCorp_20081001_8-K_EX-99.1_2654808_EX-99.1_Hosting Agreement__Document Name_0,25.464876890182495,1.430271863937378,21951,0,0,21951,0,2990,2990,0.0,0.0,0.036901,0.021951,0.01495
14,all_fields,2,ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement__Document Name_0|BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT (1)__Document Name_0,33.26229166984558,1.4465079307556152,22765,0,0,22765,0,3803,3803,0.0,0.0,0.04178,0.022765,0.019015
