run_id,batch_number,field_chunk,num_contracts_in_batch,contract_ids,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
,1,all_fields,1,MEDIWOUNDLTD_01_15_2014-EX-10.6-SUPPLY AGREEMENT__Document Name_0,56.438689947128296,3.349688768386841,13331,0,1960,13331,0,2494,2494,0.0,0.0,0.078873,0.041463,0.03741
,2,all_fields,1,SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules__Document Name_0,18.917667865753174,1.518237590789795,8549,0,1959,8549,0,1272,1272,0.0,0.0,0.04619625,0.02711625,0.01908
,3,all_fields,1,NmfSlfIInc_20200115_10-12GA_EX-10.5_11946987_EX-10.5_Trademark License Agreement__Document Name_0,31.98982548713684,0.7956552505493164,5987,0,1956,5987,0,1876,1876,0.0,0.0,0.047568,0.019428,0.02814
,4,all_fields,1,KINGPHARMACEUTICALSINC_08_09_2006-EX-10.1-PROMOTION AGREEMENT__Document Name_0,92.36243462562561,1.4393463134765625,40922,0,1960,40922,0,4883,4883,0.0,0.0,0.197481,0.124236,0.073245
,5,all_fields,1,KALLOINC_11_03_2011-EX-10.1-STRATEGIC ALLIANCE AGREEMENT__Document Name_0,79.34898447990417,2.37966251373291,19719,0,1959,19719,0,3546,3546,0.0,0.0,0.11381625,0.06062625,0.05319
1,6,all_fields,1,BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT - First Amendment__Document Name_0,16.747617959976196,2.4663898944854736,3737,0,1959,3737,0,1083,1083,0.0,0.0,0.02892525,0.01268025,0.016245
,7,all_fields,1,ExactSciencesCorp_20180822_8-K_EX-10.1_11331629_EX-10.1_Promotion Agreement__Document Name_0,80.1582760810852,1.4045727252960205,38588,0,1957,38588,0,4150,4150,0.0,0.0,0.17948175,0.11723175,0.06225
,8,all_fields,1,"GWG HOLDINGS, INC. - ORDERLY MARKETING AGREEMENT__Document Name_0",29.920033931732178,0.9865636825561523,8630,0,1959,8630,0,1706,1706,0.0,0.0,0.05294925,0.02735925,0.02559
1,9,all_fields,1,DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement__Document Name_0,28.282493114471436,2.223310708999634,5669,0,1959,5669,0,1556,1556,0.0,0.0,0.04181625,0.01847625,0.02334
,10,all_fields,1,NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement__Document Name_0,85.76893329620361,1.1203126907348633,24830,0,1958,24830,0,5475,5475,0.0,0.0,0.1580835,0.0759585,0.082125
,11,all_fields,1,"OAKTREECAPITALGROUP,LLC_03_02_2020-EX-10.8-Services Agreement__Document Name_0",22.008067846298218,1.1552395820617676,6956,0,1960,6956,0,1475,1475,0.0,0.0,0.044463,0.022338,0.022125
,12,all_fields,1,VERSOTECHNOLOGIESINC_12_28_2007-EX-99.3-INTELLECTUAL PROPERTY AGREEMENT__Document Name_0,11.569407939910889,1.1195037364959717,3232,0,1960,3232,0,841,841,0.0,0.0,0.023781,0.011166,0.012615
,13,all_fields,1,AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement1__Document Name_0,70.57191371917725,3.580507755279541,67581,0,1958,67581,0,3312,3312,0.0,0.0,0.2538915,0.2042115,0.04968
,14,all_fields,1,RareElementResourcesLtd_20171019_SC 13D_EX-99.4_10897534_EX-99.4_Intellectual Property Agreement__Document Name_0,53.65774703025818,1.003199577331543,10162,0,1960,10162,0,3164,3164,0.0,0.0,0.079416,0.031956,0.04746
,15,all_fields,1,BLUEFLYINC_03_27_2002-EX-10.27-e-business Hosting Agreement__Document Name_0,40.63886570930481,2.1506567001342773,9695,0,1955,9695,0,2258,2258,0.0,0.0,0.06442125,0.03055125,0.03387
,16,all_fields,1,"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT__Document Name_0",31.586976528167725,1.3525011539459229,30153,0,1960,30153,0,1683,1683,0.0,0.0,0.117174,0.091929,0.025245
,17,all_fields,1,LifewayFoodsInc_20160316_10-K_EX-10.24_9489766_EX-10.24_Endorsement Agreement__Document Name_0,31.033825159072876,0.8280148506164551,4504,0,1961,4504,0,1714,1714,0.0,0.0,0.04069275,0.01498275,0.02571
,18,all_fields,1,MOELIS_CO_03_24_2014-EX-10.19-STRATEGIC ALLIANCE AGREEMENT__Document Name_0,53.52842998504639,1.4268207550048828,29901,0,1958,29901,0,2777,2777,0.0,0.0,0.1328265,0.0911715,0.041655
