run_id,batch_number,field_chunk,num_contracts_in_batch,contract_ids,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
,1,all_fields,2,MEDIWOUNDLTD_01_15_2014-EX-10.6-SUPPLY AGREEMENT__Document Name_0|SLOVAKWIRELESSFINANCECOBV_03_28_2001-EX-4.(B)(II).3-Maintenance and support contract for SICAP(R) modules__Document Name_0,58.381592750549316,1.1218862533569336,19892,0,1958,19892,0,3084,3084,0.0,0.0,0.1074045,0.0611445,0.04626
,2,all_fields,2,NmfSlfIInc_20200115_10-12GA_EX-10.5_11946987_EX-10.5_Trademark License Agreement__Document Name_0|KINGPHARMACEUTICALSINC_08_09_2006-EX-10.1-PROMOTION AGREEMENT__Document Name_0,85.45618796348572,1.7592401504516602,44924,0,1958,44924,0,4683,4683,0.0,0.0,0.2064855,0.1362405,0.070245
,3,all_fields,2,KALLOINC_11_03_2011-EX-10.1-STRATEGIC ALLIANCE AGREEMENT__Document Name_0|BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT - First Amendment__Document Name_0,78.47815704345703,2.792151689529419,21469,0,1958,21469,0,3922,3922,0.0,0.0,0.1247055,0.0658755,0.05883
,4,all_fields,2,"ExactSciencesCorp_20180822_8-K_EX-10.1_11331629_EX-10.1_Promotion Agreement__Document Name_0|GWG HOLDINGS, INC. - ORDERLY MARKETING AGREEMENT__Document Name_0",85.189293384552,1.5738682746887207,45230,0,1955,45230,0,4777,4777,0.0,0.0,0.20881125,0.13715625,0.071655
,5,all_fields,2,DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement__Document Name_0|NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement__Document Name_0,80.73546242713928,1.300318956375122,28512,0,1957,28512,0,4765,4765,0.0,0.0,0.15847875,0.08700375,0.071475
,6,all_fields,2,"OAKTREECAPITALGROUP,LLC_03_02_2020-EX-10.8-Services Agreement__Document Name_0|VERSOTECHNOLOGIESINC_12_28_2007-EX-99.3-INTELLECTUAL PROPERTY AGREEMENT__Document Name_0",33.95802044868469,1.1152417659759521,8200,0,1959,8200,0,1996,1996,0.0,0.0,0.05600925,0.02606925,0.02994
1,7,all_fields,2,AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement1__Document Name_0|RareElementResourcesLtd_20171019_SC 13D_EX-99.4_10897534_EX-99.4_Intellectual Property Agreement__Document Name_0,105.91648721694946,3.285802125930786,75759,0,1961,75759,0,5576,5576,0.0,0.0,0.31238775,0.22874775,0.08364
,8,all_fields,2,"BLUEFLYINC_03_27_2002-EX-10.27-e-business Hosting Agreement__Document Name_0|BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT__Document Name_0",61.64442563056946,1.5249927043914795,37868,0,1962,37868,0,3274,3274,0.0,0.0,0.1641855,0.1150755,0.04911
,9,all_fields,2,LifewayFoodsInc_20160316_10-K_EX-10.24_9489766_EX-10.24_Endorsement Agreement__Document Name_0|MOELIS_CO_03_24_2014-EX-10.19-STRATEGIC ALLIANCE AGREEMENT__Document Name_0,72.29811787605286,1.3395981788635254,32421,0,1962,32421,0,3867,3867,0.0,0.0,0.1567395,0.0987345,0.058005
,10,all_fields,2,"IOVANCEBIOTHERAPEUTICS,INC_08_03_2017-EX-10.1-STRATEGIC ALLIANCE AGREEMENT__Document Name_0|StaarSurgicalCompany_20180801_10-Q_EX-10.37_11289449_EX-10.37_Distributor Agreement__Document Name_0",75.07825255393982,1.3824994564056396,28266,0,1957,28266,0,3933,3933,0.0,0.0,0.14526075,0.08626575,0.058995
