batch_number,num_papers_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_relevant
1,5,3.084127902984619,1.7068321704864502,1342,0,0,1342,0,88,88,0.0,0.0,0.005346,0.004026,0.00132,0
2,5,2.6560912132263184,1.6224544048309326,2705,0,0,2705,0,88,88,0.0,0.0,0.009435,0.008115,0.00132,0
3,5,4.213677406311035,3.4231717586517334,1534,0,0,1534,0,88,88,0.0,0.0,0.005922,0.004602,0.00132,0
4,5,2.7524454593658447,1.9756052494049072,1110,0,0,1110,0,88,88,0.0,0.0,0.00465,0.00333,0.00132,0
5,5,4.279423952102661,3.442695379257202,1406,0,0,1406,0,88,88,0.0,0.0,0.005538,0.004218,0.00132,0
6,5,1.950284719467163,1.1284759044647217,1679,0,0,1679,0,88,88,0.0,0.0,0.006357,0.005037,0.00132,0
7,5,2.132567882537842,1.3056509494781494,1696,0,0,1696,0,87,87,0.0,0.0,0.006393,0.005088,0.001305,0
8,5,2.132768392562866,1.3482747077941895,1007,0,0,1007,0,88,88,0.0,0.0,0.004341,0.003021,0.00132,0
9,5,2.1996283531188965,1.375655174255371,1851,0,0,1851,0,88,88,0.0,0.0,0.006873,0.005553,0.00132,0
10,5,2.4147634506225586,1.5787017345428467,1678,0,0,1678,0,88,88,0.0,0.0,0.006354,0.005034,0.00132,0
11,5,3.771268844604492,2.9195241928100586,1265,0,0,1265,0,88,88,0.0,0.0,0.005115,0.003795,0.00132,0
12,5,1.9325449466705322,1.1533455848693848,2081,0,0,2081,0,88,88,0.0,0.0,0.007563,0.006243,0.00132,0
13,5,2.4916305541992188,1.520841121673584,1353,0,0,1353,0,87,87,0.0,0.0,0.005364,0.004059,0.001305,0
14,5,2.059951066970825,1.228377103805542,1847,0,0,1847,0,88,88,0.0,0.0,0.006861,0.005541,0.00132,0
15,5,2.0096421241760254,1.183880090713501,1732,0,0,1732,0,88,88,0.0,0.0,0.006516,0.005196,0.00132,1
16,5,2.2670674324035645,1.4123408794403076,2071,0,0,2071,0,88,88,0.0,0.0,0.007533,0.006213,0.00132,0
17,5,2.317242383956909,1.4997799396514893,1612,0,0,1612,0,88,88,0.0,0.0,0.006156,0.004836,0.00132,0
18,5,2.6978166103363037,1.883420705795288,1381,0,0,1381,0,87,87,0.0,0.0,0.005448,0.004143,0.001305,0
19,5,2.329784631729126,1.603926181793213,1437,0,0,1437,0,87,87,0.0,0.0,0.005616,0.004311,0.001305,0
20,5,2.0094878673553467,1.1337037086486816,1447,0,0,1447,0,88,88,0.0,0.0,0.005661,0.004341,0.00132,0
