batch_number,num_papers_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_relevant
1,2,0.9658637046813965,0.9110298156738281,701,0,0,701,0,40,40,0.0,0.0,0.0004705,0.0003505,0.00012,0
2,2,1.0076096057891846,0.9568169116973877,490,0,0,490,0,39,39,0.0,0.0,0.000362,0.000245,0.000117,0
3,2,0.9566910266876221,0.9288151264190674,642,0,0,642,0,39,39,0.0,0.0,0.000438,0.000321,0.000117,0
4,2,1.0340688228607178,0.983889102935791,622,0,0,622,0,41,41,0.0,0.0,0.000434,0.000311,0.000123,0
5,2,1.355196475982666,1.2634365558624268,2002,0,0,2002,0,45,45,0.0,0.0,0.001136,0.001001,0.000135,0
6,2,1.1588919162750244,1.1091678142547607,616,0,0,616,0,38,38,0.0,0.0,0.000422,0.000308,0.000114,0
7,2,0.9441967010498047,0.8746109008789062,641,0,0,641,0,39,39,0.0,0.0,0.0004375,0.0003205,0.000117,0
8,2,0.9231510162353516,0.9101541042327881,593,0,0,593,0,37,37,0.0,0.0,0.0004075,0.0002965,0.000111,0
9,2,0.8073389530181885,0.7630090713500977,583,0,0,583,0,40,40,0.0,0.0,0.0004115,0.0002915,0.00012,0
10,2,1.074882984161377,0.9775958061218262,501,0,0,501,0,41,41,0.0,0.0,0.0003735,0.0002505,0.000123,0
11,2,1.1138293743133545,1.0636670589447021,620,0,0,620,0,38,38,0.0,0.0,0.000424,0.00031,0.000114,0
12,2,1.0578670501708984,1.0064423084259033,683,0,0,683,0,41,41,0.0,0.0,0.0004645,0.0003415,0.000123,0
13,2,1.8251521587371826,1.7477936744689941,585,0,0,585,0,40,40,0.0,0.0,0.0004125,0.0002925,0.00012,0
14,2,1.0272142887115479,0.9662497043609619,786,0,0,786,0,41,41,0.0,0.0,0.000516,0.000393,0.000123,0
15,2,1.1065266132354736,1.0530223846435547,696,0,0,696,0,40,40,0.0,0.0,0.000468,0.000348,0.00012,0
