batch_number,num_papers_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_relevant
1,2,1.0678081512451172,0.688774824142456,656,0,0,656,0,40,40,0.0,0.0,0.00224,0.00164,0.0006,0
2,2,0.9850101470947266,0.6178209781646729,447,0,0,447,0,40,40,0.0,0.0,0.0017175,0.0011175,0.0006,0
3,2,1.1351258754730225,0.73545241355896,583,0,0,583,0,40,40,0.0,0.0,0.0020575,0.0014575,0.0006,0
4,2,1.014970302581787,0.615084171295166,570,0,0,570,0,40,40,0.0,0.0,0.002025,0.001425,0.0006,0
5,2,1.1378726959228516,0.7474730014801025,1710,0,0,1710,0,40,40,0.0,0.0,0.004875,0.004275,0.0006,0
6,2,1.2849299907684326,0.7569994926452637,578,0,0,578,0,40,40,0.0,0.0,0.002045,0.001445,0.0006,0
7,2,1.0707769393920898,0.6939444541931152,603,0,0,603,0,40,40,0.0,0.0,0.0021075,0.0015075,0.0006,0
8,2,1.0780818462371826,0.6901721954345703,562,0,0,562,0,40,40,0.0,0.0,0.002005,0.001405,0.0006,0
9,2,0.9503657817840576,0.5902738571166992,539,0,0,539,0,40,40,0.0,0.0,0.0019475,0.0013475,0.0006,0
10,2,1.0629100799560547,0.7144808769226074,451,0,0,451,0,40,40,0.0,0.0,0.0017275,0.0011275,0.0006,0
11,2,1.1023690700531006,0.703070878982544,580,0,0,580,0,40,40,0.0,0.0,0.00205,0.00145,0.0006,0
12,2,1.1616661548614502,0.759077787399292,624,0,0,624,0,40,40,0.0,0.0,0.00216,0.00156,0.0006,0
13,2,1.2646842002868652,0.7689452171325684,544,0,0,544,0,40,40,0.0,0.0,0.00196,0.00136,0.0006,0
14,2,1.245675802230835,0.5995838642120361,732,0,0,732,0,40,40,0.0,0.0,0.00243,0.00183,0.0006,0
15,2,1.3843772411346436,0.8351776599884033,647,0,0,647,0,40,40,0.0,0.0,0.0022175,0.0016175,0.0006,0
16,2,1.3296597003936768,1.0409209728240967,620,0,0,620,0,39,39,0.0,0.0,0.002135,0.00155,0.000585,0
17,2,1.195802927017212,0.789546012878418,737,0,0,737,0,40,40,0.0,0.0,0.0024425,0.0018425,0.0006,0
18,2,1.1874394416809082,0.7251758575439453,613,0,0,613,0,40,40,0.0,0.0,0.0021325,0.0015325,0.0006,0
19,2,1.213629961013794,0.7754514217376709,292,0,0,292,0,40,40,0.0,0.0,0.00133,0.00073,0.0006,0
20,2,1.0838744640350342,0.6900405883789062,572,0,0,572,0,40,40,0.0,0.0,0.00203,0.00143,0.0006,0
21,2,1.13631272315979,0.7940871715545654,704,0,0,704,0,40,40,0.0,0.0,0.00236,0.00176,0.0006,0
22,2,1.0256781578063965,0.6241099834442139,758,0,0,758,0,40,40,0.0,0.0,0.002495,0.001895,0.0006,0
23,2,1.099926471710205,0.6888351440429688,764,0,0,764,0,40,40,0.0,0.0,0.00251,0.00191,0.0006,0
24,2,1.1315293312072754,0.7412600517272949,621,0,0,621,0,40,40,0.0,0.0,0.0021525,0.0015525,0.0006,0
25,2,1.1152207851409912,0.6610927581787109,681,0,0,681,0,40,40,0.0,0.0,0.0023025,0.0017025,0.0006,0
26,2,1.1168510913848877,0.7442145347595215,785,0,0,785,0,40,40,0.0,0.0,0.0025625,0.0019625,0.0006,0
27,2,1.1119384765625,0.7240116596221924,409,0,0,409,0,40,40,0.0,0.0,0.0016225,0.0010225,0.0006,0
28,2,2.208367109298706,1.8321213722229004,518,0,0,518,0,40,40,0.0,0.0,0.001895,0.001295,0.0006,0
29,2,1.0558662414550781,0.66587233543396,943,0,0,943,0,40,40,0.0,0.0,0.0029575,0.0023575,0.0006,0
30,2,1.1324613094329834,0.7485795021057129,707,0,0,707,0,40,40,0.0,0.0,0.0023675,0.0017675,0.0006,0
31,2,1.1477947235107422,0.7766964435577393,703,0,0,703,0,39,39,0.0,0.0,0.0023425,0.0017575,0.000585,0
32,2,1.270622968673706,0.7591376304626465,513,0,0,513,0,40,40,0.0,0.0,0.0018825,0.0012825,0.0006,0
33,2,1.0572335720062256,0.6876223087310791,739,0,0,739,0,40,40,0.0,0.0,0.0024475,0.0018475,0.0006,0
34,2,1.167633056640625,0.7443740367889404,796,0,0,796,0,40,40,0.0,0.0,0.00259,0.00199,0.0006,0
35,2,1.0948805809020996,0.66426682472229,510,0,0,510,0,40,40,0.0,0.0,0.001875,0.001275,0.0006,0
36,2,1.0754671096801758,0.7088677883148193,929,0,0,929,0,40,40,0.0,0.0,0.0029225,0.0023225,0.0006,1
37,2,1.3633928298950195,0.6384060382843018,634,0,0,634,0,40,40,0.0,0.0,0.002185,0.001585,0.0006,0
38,2,1.1558434963226318,0.7686576843261719,741,0,0,741,0,40,40,0.0,0.0,0.0024525,0.0018525,0.0006,0
39,2,1.5800883769989014,1.0610597133636475,807,0,0,807,0,40,40,0.0,0.0,0.0026175,0.0020175,0.0006,0
40,2,1.1098809242248535,0.770967960357666,624,0,0,624,0,40,40,0.0,0.0,0.00216,0.00156,0.0006,0
41,2,1.1179816722869873,0.7035629749298096,795,0,0,795,0,40,40,0.0,0.0,0.0025875,0.0019875,0.0006,0
42,2,1.0179917812347412,0.6203217506408691,585,0,0,585,0,40,40,0.0,0.0,0.0020625,0.0014625,0.0006,0
43,2,1.1133956909179688,0.7187230587005615,497,0,0,497,0,39,39,0.0,0.0,0.0018275,0.0012425,0.000585,0
44,2,1.074897289276123,0.6991989612579346,618,0,0,618,0,40,40,0.0,0.0,0.002145,0.001545,0.0006,0
45,2,1.1213130950927734,0.7307000160217285,583,0,0,583,0,40,40,0.0,0.0,0.0020575,0.0014575,0.0006,0
46,2,1.021857500076294,0.6521317958831787,559,0,0,559,0,40,40,0.0,0.0,0.0019975,0.0013975,0.0006,0
