batch_number,num_papers_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_relevant
1,1,2.1093661785125732,1.9152305126190186,390,0,0,390,0,27,27,0.0,0.0,0.00011175,7.8e-05,3.375e-05,0
2,1,0.9829447269439697,0.7826187610626221,516,0,0,516,0,27,27,0.0,0.0,0.00013695,0.0001032,3.375e-05,0
3,1,0.8602116107940674,0.6390247344970703,426,0,0,426,0,27,27,0.0,0.0,0.00011895,8.52e-05,3.375e-05,0
4,1,0.9720962047576904,0.7818074226379395,271,0,0,271,0,27,27,0.0,0.0,8.795e-05,5.42e-05,3.375e-05,0
5,1,0.8820579051971436,0.6864025592803955,423,0,0,423,0,27,27,0.0,0.0,0.00011835,8.46e-05,3.375e-05,0
6,1,0.8861274719238281,0.6901571750640869,410,0,0,410,0,27,27,0.0,0.0,0.00011575,8.2e-05,3.375e-05,0
7,1,0.8257167339324951,0.6659250259399414,445,0,0,445,0,27,27,0.0,0.0,0.00012275,8.9e-05,3.375e-05,0
8,1,0.9887299537658691,0.7832033634185791,375,0,0,375,0,27,27,0.0,0.0,0.00010875,7.5e-05,3.375e-05,0
9,1,0.8321588039398193,0.6550912857055664,395,0,0,395,0,27,27,0.0,0.0,0.00011275,7.9e-05,3.375e-05,0
10,1,0.9051406383514404,0.7024297714233398,1565,0,0,1565,0,27,27,0.0,0.0,0.00034675,0.000313,3.375e-05,0
11,1,0.7659182548522949,0.62508225440979,389,0,0,389,0,27,27,0.0,0.0,0.00011155,7.78e-05,3.375e-05,0
12,1,1.5252842903137207,1.2309651374816895,439,0,0,439,0,27,27,0.0,0.0,0.00012155,8.78e-05,3.375e-05,0
13,1,1.0370259284973145,0.7876904010772705,392,0,0,392,0,27,27,0.0,0.0,0.00011215,7.84e-05,3.375e-05,0
14,1,0.895143985748291,0.7140259742736816,461,0,0,461,0,27,27,0.0,0.0,0.00012595,9.22e-05,3.375e-05,0
15,1,0.9642136096954346,0.713515043258667,519,0,0,519,0,27,27,0.0,0.0,0.00013755,0.0001038,3.375e-05,0
16,1,0.8951423168182373,0.7116854190826416,293,0,0,293,0,27,27,0.0,0.0,9.235e-05,5.86e-05,3.375e-05,0
17,1,1.0267999172210693,0.7701549530029297,384,0,0,384,0,27,27,0.0,0.0,0.00011055,7.68e-05,3.375e-05,0
18,1,0.8847508430480957,0.7557129859924316,405,0,0,405,0,27,27,0.0,0.0,0.00011475,8.1e-05,3.375e-05,0
19,1,0.9788527488708496,0.6654582023620605,430,0,0,430,0,27,27,0.0,0.0,0.00011975,8.6e-05,3.375e-05,0
20,1,0.8845226764678955,0.6965022087097168,271,0,0,271,0,27,27,0.0,0.0,8.795e-05,5.42e-05,3.375e-05,0
