run_id,num_papers_in_batch,batch_number,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_relevant
1,8,1,1.4270076751708984,0.6919147968292236,1506,0,0,1506,0,118,118,0.0,0.0,0.0004487,0.0003012,0.0001475,0
1,8,2,1.3859970569610596,0.6462383270263672,2703,0,0,2703,0,118,118,0.0,0.0,0.0006881,0.0005406,0.0001475,0
1,8,3,1.2622239589691162,0.540630578994751,1444,0,0,1444,0,118,118,0.0,0.0,0.0004363,0.0002888,0.0001475,0
1,8,4,1.170351505279541,0.5197522640228271,1793,0,0,1793,0,117,117,0.0,0.0,0.00050485,0.0003586,0.00014625,0
1,8,5,1.480546236038208,0.5624837875366211,1464,0,0,1464,0,118,118,0.0,0.0,0.0004403,0.0002928,0.0001475,0
1,8,6,1.5818088054656982,0.7436530590057373,2097,0,0,2097,0,118,118,0.0,0.0,0.0005669,0.0004194,0.0001475,0
1,8,7,1.2328152656555176,0.5123980045318604,1643,0,0,1643,0,118,118,0.0,0.0,0.0004761,0.0003286,0.0001475,0
1,8,8,1.3220782279968262,0.5590765476226807,2116,0,0,2116,0,117,117,0.0,0.0,0.00056945,0.0004232,0.00014625,0
1,8,9,1.4585633277893066,0.5073421001434326,2224,0,0,2224,0,118,118,0.0,0.0,0.0005923,0.0004448,0.0001475,1
1,8,10,1.2064409255981445,0.47295308113098145,2056,0,0,2056,0,118,118,0.0,0.0,0.0005587,0.0004112,0.0001475,0
1,8,11,1.2490816116333008,0.5081026554107666,1745,0,0,1745,0,117,117,0.0,0.0,0.00049525,0.000349,0.00014625,0
1,8,12,1.3638677597045898,0.5759925842285156,1629,0,0,1629,0,117,117,0.0,0.0,0.00047205,0.0003258,0.00014625,0
1,4,13,0.9279046058654785,0.4535360336303711,920,0,0,920,0,66,66,0.0,0.0,0.0002665,0.000184,8.25e-05,0
