batch_number,num_papers_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_relevant
1,1,3.1270248889923096,2.9734222888946533,650,0,0,650,0,24,24,0.0,0.0,0.00077,0.00065,0.00012,0
2,1,1.7184298038482666,1.558852195739746,784,0,0,784,0,24,24,0.0,0.0,0.000904,0.000784,0.00012,0
3,1,1.8961267471313477,1.703925609588623,686,0,0,686,0,24,24,0.0,0.0,0.000806,0.000686,0.00012,0
4,1,1.2535302639007568,1.0948209762573242,519,0,0,519,0,24,24,0.0,0.0,0.000639,0.000519,0.00012,0
5,1,1.6924550533294678,1.552046775817871,682,0,0,682,0,24,24,0.0,0.0,0.000802,0.000682,0.00012,0
6,1,1.4431202411651611,1.1325011253356934,676,0,0,676,0,24,24,0.0,0.0,0.000796,0.000676,0.00012,0
7,1,1.4476075172424316,0.9326879978179932,712,0,0,712,0,24,24,0.0,0.0,0.000832,0.000712,0.00012,0
8,1,0.9741687774658203,0.7919318675994873,627,0,0,627,0,24,24,0.0,0.0,0.000747,0.000627,0.00012,0
9,1,1.1881310939788818,1.0125036239624023,655,0,0,655,0,24,24,0.0,0.0,0.000775,0.000655,0.00012,0
10,1,1.2783668041229248,1.042405605316162,2014,0,0,2014,0,24,24,0.0,0.0,0.002134,0.002014,0.00012,0
11,1,1.7820148468017578,1.645087718963623,644,0,0,644,0,24,24,0.0,0.0,0.000764,0.000644,0.00012,0
12,1,1.181337833404541,0.9858601093292236,710,0,0,710,0,24,24,0.0,0.0,0.00083,0.00071,0.00012,0
13,1,2.896815299987793,2.7290337085723877,649,0,0,649,0,24,24,0.0,0.0,0.000769,0.000649,0.00012,0
14,1,1.6045095920562744,1.2044270038604736,723,0,0,723,0,24,24,0.0,0.0,0.000843,0.000723,0.00012,0
15,1,0.9364910125732422,0.823716402053833,787,0,0,787,0,24,24,0.0,0.0,0.000907,0.000787,0.00012,0
16,1,2.1174700260162354,1.9870045185089111,544,0,0,544,0,24,24,0.0,0.0,0.000664,0.000544,0.00012,0
17,1,1.05057954788208,0.9096360206604004,646,0,0,646,0,24,24,0.0,0.0,0.000766,0.000646,0.00012,0
