run_id,num_papers_in_batch,batch_number,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_relevant
1,8,1,2.9075982570648193,2.1020286083221436,1871,0,0,1871,0,136,136,0.0,0.0,0.002551,0.001871,0.00068,0
1,8,2,1.9947412014007568,1.117250680923462,3261,0,0,3261,0,136,136,0.0,0.0,0.003941,0.003261,0.00068,0
1,8,3,2.080561876296997,1.314594030380249,1831,0,0,1831,0,136,136,0.0,0.0,0.002511,0.001831,0.00068,0
1,8,4,1.9175448417663574,1.0496947765350342,2214,0,0,2214,0,135,135,0.0,0.0,0.002889,0.002214,0.000675,0
1,8,5,2.6519718170166016,1.9599580764770508,1809,0,0,1809,0,136,136,0.0,0.0,0.002489,0.001809,0.00068,0
1,8,6,1.8803973197937012,1.0750126838684082,2525,0,0,2525,0,136,136,0.0,0.0,0.003205,0.002525,0.00068,0
1,8,7,1.705263376235962,1.0124378204345703,2036,0,0,2036,0,136,136,0.0,0.0,0.002716,0.002036,0.00068,0
1,8,8,1.739445686340332,0.9555833339691162,2593,0,0,2593,0,135,135,0.0,0.0,0.003268,0.002593,0.000675,0
1,8,9,1.9148261547088623,0.9243237972259521,2715,0,0,2715,0,136,136,0.0,0.0,0.003395,0.002715,0.00068,1
1,8,10,2.650171995162964,1.871633529663086,2516,0,0,2516,0,136,136,0.0,0.0,0.003196,0.002516,0.00068,0
1,8,11,2.432523012161255,1.6995508670806885,2118,0,0,2118,0,135,135,0.0,0.0,0.002793,0.002118,0.000675,0
1,8,12,1.995070219039917,1.0143394470214844,2036,0,0,2036,0,135,135,0.0,0.0,0.002711,0.002036,0.000675,0
1,4,13,1.2728090286254883,0.8598675727844238,1224,0,0,1224,0,72,72,0.0,0.0,0.001584,0.001224,0.00036,0
