batch_number,num_reviews_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_positive
1,1,2.536731243133545,2.4680821895599365,344,0,0,344,0,20,20,0.0,0.0,0.000232,0.000172,6e-05,0
2,1,1.2288181781768799,1.1705970764160156,332,0,0,332,0,20,20,0.0,0.0,0.000226,0.000166,6e-05,0
3,1,1.0094401836395264,1.0068511962890625,331,0,0,331,0,22,22,0.0,0.0,0.0002315,0.0001655,6.6e-05,1
4,1,0.9401259422302246,0.9124000072479248,378,0,0,378,0,22,22,0.0,0.0,0.000255,0.000189,6.6e-05,0
5,1,1.0242791175842285,0.9573402404785156,324,0,0,324,0,20,20,0.0,0.0,0.000222,0.000162,6e-05,0
6,1,0.9947183132171631,0.9927978515625,335,0,0,335,0,19,19,0.0,0.0,0.0002245,0.0001675,5.7e-05,1
7,1,1.2251951694488525,1.222527027130127,346,0,0,346,0,20,20,0.0,0.0,0.000233,0.000173,6e-05,0
8,1,1.1634528636932373,1.1032068729400635,338,0,0,338,0,20,20,0.0,0.0,0.000229,0.000169,6e-05,1
9,1,1.3680448532104492,1.3035509586334229,353,0,0,353,0,20,20,0.0,0.0,0.0002365,0.0001765,6e-05,1
10,1,1.1363110542297363,1.1310639381408691,343,0,0,343,0,20,20,0.0,0.0,0.0002315,0.0001715,6e-05,1
11,1,1.1522350311279297,1.1102981567382812,336,0,0,336,0,20,20,0.0,0.0,0.000228,0.000168,6e-05,0
12,1,1.074350118637085,1.0154459476470947,353,0,0,353,0,20,20,0.0,0.0,0.0002365,0.0001765,6e-05,1
13,1,1.1268348693847656,0.9573798179626465,319,0,0,319,0,19,19,0.0,0.0,0.0002165,0.0001595,5.7e-05,0
14,1,0.9831490516662598,0.934377908706665,330,0,0,330,0,20,20,0.0,0.0,0.000225,0.000165,6e-05,0
15,1,1.0422327518463135,1.0391991138458252,331,0,0,331,0,20,20,0.0,0.0,0.0002255,0.0001655,6e-05,1
16,1,1.1145710945129395,1.0617218017578125,317,0,0,317,0,19,19,0.0,0.0,0.0002155,0.0001585,5.7e-05,0
17,1,1.1203291416168213,1.0701560974121094,347,0,0,347,0,20,20,0.0,0.0,0.0002335,0.0001735,6e-05,1
18,1,1.1440908908843994,1.0862841606140137,339,0,0,339,0,20,20,0.0,0.0,0.0002295,0.0001695,6e-05,1
19,1,1.1308116912841797,1.0823469161987305,325,0,0,325,0,20,20,0.0,0.0,0.0002225,0.0001625,6e-05,1
20,1,8.583168983459473,8.33950686454773,361,0,0,361,0,20,20,0.0,0.0,0.0002405,0.0001805,6e-05,1
21,1,0.9507350921630859,0.8901932239532471,344,0,0,344,0,20,20,0.0,0.0,0.000232,0.000172,6e-05,1
22,1,0.9371850490570068,0.9348769187927246,350,0,0,350,0,20,20,0.0,0.0,0.000235,0.000175,6e-05,1
23,1,0.9351379871368408,0.9052929878234863,356,0,0,356,0,20,20,0.0,0.0,0.000238,0.000178,6e-05,1
24,1,1.0382170677185059,0.9751298427581787,344,0,0,344,0,20,20,0.0,0.0,0.000232,0.000172,6e-05,1
25,1,1.0565178394317627,0.9820029735565186,360,0,0,360,0,22,22,0.0,0.0,0.000246,0.00018,6.6e-05,1
26,1,1.0644421577453613,1.005802869796753,328,0,0,328,0,20,20,0.0,0.0,0.000224,0.000164,6e-05,0
27,1,1.0039749145507812,0.9669497013092041,330,0,0,330,0,19,19,0.0,0.0,0.000222,0.000165,5.7e-05,0
28,1,1.831110954284668,1.7501640319824219,343,0,0,343,0,20,20,0.0,0.0,0.0002315,0.0001715,6e-05,0
29,1,1.057325839996338,0.9863460063934326,347,0,0,347,0,20,20,0.0,0.0,0.0002335,0.0001735,6e-05,0
30,1,0.9880731105804443,0.9397587776184082,322,0,0,322,0,20,20,0.0,0.0,0.000221,0.000161,6e-05,0
31,1,1.0775790214538574,1.0234260559082031,330,0,0,330,0,20,20,0.0,0.0,0.000225,0.000165,6e-05,1
32,1,1.051682710647583,1.0274031162261963,341,0,0,341,0,20,20,0.0,0.0,0.0002305,0.0001705,6e-05,0
33,1,1.1867458820343018,1.1831691265106201,361,0,0,361,0,20,20,0.0,0.0,0.0002405,0.0001805,6e-05,0
34,1,1.1313772201538086,1.1044270992279053,324,0,0,324,0,20,20,0.0,0.0,0.000222,0.000162,6e-05,1
35,1,0.9576880931854248,0.9069314002990723,358,0,0,358,0,20,20,0.0,0.0,0.000239,0.000179,6e-05,0
36,1,8.341453075408936,8.32397174835205,363,0,0,363,0,20,20,0.0,0.0,0.0002415,0.0001815,6e-05,0
37,1,1.0637171268463135,1.021008014678955,353,0,0,353,0,20,20,0.0,0.0,0.0002365,0.0001765,6e-05,1
38,1,1.1224429607391357,1.0559711456298828,324,0,0,324,0,20,20,0.0,0.0,0.000222,0.000162,6e-05,1
39,1,0.9821200370788574,0.9504389762878418,336,0,0,336,0,20,20,0.0,0.0,0.000228,0.000168,6e-05,0
40,1,0.9944262504577637,0.9496939182281494,335,0,0,335,0,20,20,0.0,0.0,0.0002275,0.0001675,6e-05,1
41,1,1.2684028148651123,1.2046499252319336,355,0,0,355,0,20,20,0.0,0.0,0.0002375,0.0001775,6e-05,1
42,1,1.1328036785125732,1.0660889148712158,351,0,0,351,0,20,20,0.0,0.0,0.0002355,0.0001755,6e-05,1
43,1,1.0819556713104248,1.053941011428833,347,0,0,347,0,20,20,0.0,0.0,0.0002335,0.0001735,6e-05,1
44,1,0.9923923015594482,0.9848148822784424,356,0,0,356,0,20,20,0.0,0.0,0.000238,0.000178,6e-05,0
45,1,1.0069329738616943,0.9989030361175537,346,0,0,346,0,20,20,0.0,0.0,0.000233,0.000173,6e-05,0
46,1,1.5143940448760986,1.4469146728515625,358,0,0,358,0,20,20,0.0,0.0,0.000239,0.000179,6e-05,1
47,1,1.0113859176635742,0.9511182308197021,353,0,0,353,0,20,20,0.0,0.0,0.0002365,0.0001765,6e-05,1
48,1,1.0942997932434082,1.0443871021270752,377,0,0,377,0,22,22,0.0,0.0,0.0002545,0.0001885,6.6e-05,1
49,1,1.1924457550048828,1.124540090560913,338,0,0,338,0,20,20,0.0,0.0,0.000229,0.000169,6e-05,1
50,1,1.049988031387329,0.9807307720184326,347,0,0,347,0,20,20,0.0,0.0,0.0002335,0.0001735,6e-05,1
51,1,1.2395639419555664,1.2050807476043701,342,0,0,342,0,20,20,0.0,0.0,0.000231,0.000171,6e-05,1
52,1,1.0417468547821045,1.0392210483551025,362,0,0,362,0,20,20,0.0,0.0,0.000241,0.000181,6e-05,1
53,1,0.9548912048339844,0.9112660884857178,342,0,0,342,0,20,20,0.0,0.0,0.000231,0.000171,6e-05,1
54,1,0.9770879745483398,0.976538896560669,333,0,0,333,0,20,20,0.0,0.0,0.0002265,0.0001665,6e-05,1
55,1,1.276005744934082,1.211366891860962,343,0,0,343,0,20,20,0.0,0.0,0.0002315,0.0001715,6e-05,0
56,1,1.1659538745880127,1.1651530265808105,358,0,0,358,0,20,20,0.0,0.0,0.000239,0.000179,6e-05,1
57,1,1.166576862335205,1.1257860660552979,319,0,0,319,0,19,19,0.0,0.0,0.0002165,0.0001595,5.7e-05,1
58,1,1.0721931457519531,1.071136713027954,331,0,0,331,0,20,20,0.0,0.0,0.0002255,0.0001655,6e-05,0
59,1,0.9871408939361572,0.9229578971862793,371,0,0,371,0,20,20,0.0,0.0,0.0002455,0.0001855,6e-05,0
60,1,1.2455079555511475,1.1672697067260742,337,0,0,337,0,20,20,0.0,0.0,0.0002285,0.0001685,6e-05,1
61,1,1.2692599296569824,1.2516140937805176,320,0,0,320,0,20,20,0.0,0.0,0.00022,0.00016,6e-05,0
62,1,1.423651933670044,1.3418238162994385,324,0,0,324,0,20,20,0.0,0.0,0.000222,0.000162,6e-05,0
63,1,1.0038173198699951,0.9517219066619873,324,0,0,324,0,20,20,0.0,0.0,0.000222,0.000162,6e-05,1
64,1,1.0142221450805664,0.991940975189209,354,0,0,354,0,19,19,0.0,0.0,0.000234,0.000177,5.7e-05,1
65,1,1.24139404296875,1.2047111988067627,336,0,0,336,0,20,20,0.0,0.0,0.000228,0.000168,6e-05,0
66,1,1.0778980255126953,1.075070858001709,360,0,0,360,0,20,20,0.0,0.0,0.00024,0.00018,6e-05,1
67,1,0.9885368347167969,0.9392142295837402,345,0,0,345,0,20,20,0.0,0.0,0.0002325,0.0001725,6e-05,1
68,1,1.0390808582305908,0.9790940284729004,333,0,0,333,0,20,20,0.0,0.0,0.0002265,0.0001665,6e-05,1
69,1,1.0575029850006104,1.0038340091705322,329,0,0,329,0,19,19,0.0,0.0,0.0002215,0.0001645,5.7e-05,1
70,1,1.0900743007659912,1.0167322158813477,345,0,0,345,0,20,20,0.0,0.0,0.0002325,0.0001725,6e-05,1
71,1,1.0501708984375,1.0011570453643799,314,0,0,314,0,19,19,0.0,0.0,0.000214,0.000157,5.7e-05,0
