batch_number,num_reviews_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_positive
1,1,1.1434130668640137,0.8326220512390137,289,0,0,289,0,26,26,0.0,0.0,0.0011125,0.0007225,0.00039,0
2,1,1.2377097606658936,0.8486008644104004,287,0,0,287,0,26,26,0.0,0.0,0.0011075,0.0007175,0.00039,0
3,1,1.0372858047485352,0.734565258026123,280,0,0,280,0,26,26,0.0,0.0,0.00109,0.0007,0.00039,1
4,1,1.0484390258789062,0.7507860660552979,323,0,0,323,0,26,26,0.0,0.0,0.0011975,0.0008075,0.00039,0
5,1,2.633061170578003,2.425297975540161,273,0,0,273,0,26,26,0.0,0.0,0.0010725,0.0006825,0.00039,0
6,1,1.243492841720581,1.04685378074646,288,0,0,288,0,25,25,0.0,0.0,0.001095,0.00072,0.000375,1
7,1,1.2731990814208984,0.7420501708984375,301,0,0,301,0,26,26,0.0,0.0,0.0011425,0.0007525,0.00039,0
8,1,2.2817060947418213,1.655729055404663,290,0,0,290,0,26,26,0.0,0.0,0.001115,0.000725,0.00039,1
9,1,1.4732353687286377,1.0957741737365723,304,0,0,304,0,26,26,0.0,0.0,0.00115,0.00076,0.00039,0
10,1,1.3922650814056396,0.8878459930419922,294,0,0,294,0,26,26,0.0,0.0,0.001125,0.000735,0.00039,1
11,1,1.2029619216918945,1.0645229816436768,286,0,0,286,0,26,26,0.0,0.0,0.001105,0.000715,0.00039,0
12,1,1.3823399543762207,0.9911718368530273,303,0,0,303,0,26,26,0.0,0.0,0.0011475,0.0007575,0.00039,1
13,1,1.324976921081543,1.3218629360198975,273,0,0,273,0,25,25,0.0,0.0,0.0010575,0.0006825,0.000375,0
14,1,1.3285548686981201,1.1179320812225342,282,0,0,282,0,26,26,0.0,0.0,0.001095,0.000705,0.00039,0
15,1,7.0609800815582275,1.1287899017333984,282,0,0,282,0,26,26,0.0,0.0,0.001095,0.000705,0.00039,1
