batch_number,num_reviews_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_positive
1,10,1.4329516887664795,0.6254770755767822,677,0,0,677,0,133,133,0.0,0.0,0.00030165,0.0001354,0.00016625,5
2,10,1.8328979015350342,0.8132798671722412,603,0,0,603,0,132,132,0.0,0.0,0.0002856,0.0001206,0.000165,6
3,10,1.5475618839263916,0.5666708946228027,681,0,0,681,0,133,133,0.0,0.0,0.00030245,0.0001362,0.00016625,5
4,10,1.5546700954437256,0.6017999649047852,681,0,0,681,0,134,134,0.0,0.0,0.0003037,0.0001362,0.0001675,6
5,10,1.4037129878997803,0.5149741172790527,790,0,0,790,0,134,134,0.0,0.0,0.0003255,0.000158,0.0001675,7
6,10,1.8988502025604248,0.7515990734100342,688,0,0,688,0,133,133,0.0,0.0,0.00030385,0.0001376,0.00016625,6
7,10,1.3951539993286133,0.40746402740478516,614,0,0,614,0,132,132,0.0,0.0,0.0002878,0.0001228,0.000165,6
8,10,2.1271848678588867,0.8616821765899658,660,0,0,660,0,133,133,0.0,0.0,0.00029825,0.000132,0.00016625,6
9,10,1.3916330337524414,0.4767892360687256,817,0,0,817,0,133,133,0.0,0.0,0.00032965,0.0001634,0.00016625,3
10,10,1.7316930294036865,0.5376780033111572,625,0,0,625,0,131,131,0.0,0.0,0.00028875,0.000125,0.00016375,5
