batch_number,num_reviews_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_positive
1,5,1.8502609729766846,1.7076740264892578,720,0,0,720,0,88,88,0.0,0.0,0.00116,0.00072,0.00044,2
2,5,2.463892936706543,2.0091350078582764,744,0,0,744,0,87,87,0.0,0.0,0.001179,0.000744,0.000435,4
3,5,1.2221999168395996,1.0732319355010986,679,0,0,679,0,87,87,0.0,0.0,0.001114,0.000679,0.000435,2
4,5,1.602729082107544,1.0058119297027588,698,0,0,698,0,87,87,0.0,0.0,0.001133,0.000698,0.000435,4
5,5,1.6832358837127686,1.3799190521240234,772,0,0,772,0,88,88,0.0,0.0,0.001212,0.000772,0.00044,5
6,5,1.3746991157531738,1.1514010429382324,688,0,0,688,0,87,87,0.0,0.0,0.001123,0.000688,0.000435,0
7,5,1.6201181411743164,1.3132541179656982,738,0,0,738,0,88,88,0.0,0.0,0.001178,0.000738,0.00044,3
8,5,1.5835011005401611,1.258713960647583,727,0,0,727,0,88,88,0.0,0.0,0.001167,0.000727,0.00044,3
9,5,1.3587048053741455,1.0412468910217285,784,0,0,784,0,88,88,0.0,0.0,0.001224,0.000784,0.00044,3
10,5,1.7947237491607666,1.6764311790466309,803,0,0,803,0,88,88,0.0,0.0,0.001243,0.000803,0.00044,4
11,5,1.727039098739624,1.358043909072876,739,0,0,739,0,88,88,0.0,0.0,0.001179,0.000739,0.00044,3
12,5,1.5060110092163086,1.2709589004516602,737,0,0,737,0,87,87,0.0,0.0,0.001172,0.000737,0.000435,4
13,5,1.4930338859558105,1.217952013015747,661,0,0,661,0,87,87,0.0,0.0,0.001096,0.000661,0.000435,2
14,5,1.5005128383636475,1.2953550815582275,738,0,0,738,0,87,87,0.0,0.0,0.001173,0.000738,0.000435,5
15,5,1.4534223079681396,1.288679838180542,714,0,0,714,0,87,87,0.0,0.0,0.001149,0.000714,0.000435,4
16,5,1.529473066329956,1.1397840976715088,723,0,0,723,0,88,88,0.0,0.0,0.001163,0.000723,0.00044,2
17,5,1.6144256591796875,1.310309886932373,808,0,0,808,0,88,88,0.0,0.0,0.001248,0.000808,0.00044,2
18,5,1.6841421127319336,1.5077719688415527,812,0,0,812,0,87,87,0.0,0.0,0.001247,0.000812,0.000435,2
19,5,2.4294052124023438,2.301875114440918,707,0,0,707,0,87,87,0.0,0.0,0.001142,0.000707,0.000435,2
20,5,2.269564151763916,1.9952270984649658,685,0,0,685,0,86,86,0.0,0.0,0.001115,0.000685,0.00043,3
