batch_number,num_reviews_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_positive
1,1,4.384257078170776,4.381186246871948,534,0,0,534,0,23,23,0.0,0.0,0.001947,0.001602,0.000345,0
2,1,5.036780118942261,5.0354859828948975,533,0,0,533,0,23,23,0.0,0.0,0.001944,0.001599,0.000345,0
3,1,4.252970933914185,3.496033191680908,525,0,0,525,0,23,23,0.0,0.0,0.00192,0.001575,0.000345,1
4,1,3.464823007583618,3.4633517265319824,574,0,0,574,0,23,23,0.0,0.0,0.002067,0.001722,0.000345,0
5,1,6.046926975250244,6.046093940734863,519,0,0,519,0,23,23,0.0,0.0,0.001902,0.001557,0.000345,0
6,1,3.1446361541748047,1.2989208698272705,535,0,0,535,0,22,22,0.0,0.0,0.001935,0.001605,0.00033,1
7,1,9.203281879425049,7.434781789779663,543,0,0,543,0,23,23,0.0,0.0,0.001974,0.001629,0.000345,0
8,1,5.022414922714233,5.01969313621521,540,0,0,540,0,23,23,0.0,0.0,0.001965,0.00162,0.000345,1
9,1,1.768503189086914,1.5266320705413818,555,0,0,555,0,23,23,0.0,0.0,0.00201,0.001665,0.000345,1
10,1,2.093545913696289,1.409623622894287,538,0,0,538,0,23,23,0.0,0.0,0.001959,0.001614,0.000345,1
11,1,2.2136738300323486,2.2124879360198975,530,0,0,530,0,23,23,0.0,0.0,0.001935,0.00159,0.000345,0
12,1,2.9098241329193115,2.9075801372528076,555,0,0,555,0,23,23,0.0,0.0,0.00201,0.001665,0.000345,1
13,1,5.218553781509399,5.215862035751343,514,0,0,514,0,22,22,0.0,0.0,0.001872,0.001542,0.00033,0
14,1,3.9128050804138184,3.910592794418335,523,0,0,523,0,23,23,0.0,0.0,0.001914,0.001569,0.000345,0
15,1,3.830188035964966,3.422268867492676,525,0,0,525,0,23,23,0.0,0.0,0.00192,0.001575,0.000345,1
16,1,5.460865020751953,3.7850260734558105,509,0,0,509,0,22,22,0.0,0.0,0.001857,0.001527,0.00033,0
17,1,3.368927001953125,3.2299041748046875,541,0,0,541,0,23,23,0.0,0.0,0.001968,0.001623,0.000345,1
18,1,2.699889898300171,2.6953439712524414,536,0,0,536,0,23,23,0.0,0.0,0.001953,0.001608,0.000345,1
19,1,2.6763041019439697,1.3115808963775635,519,0,0,519,0,23,23,0.0,0.0,0.001902,0.001557,0.000345,1
20,1,3.2701048851013184,3.1487858295440674,559,0,0,559,0,23,23,0.0,0.0,0.002022,0.001677,0.000345,1
21,1,2.763749122619629,1.5086910724639893,548,0,0,548,0,23,23,0.0,0.0,0.001989,0.001644,0.000345,1
22,1,3.843717098236084,2.924561023712158,544,0,0,544,0,23,23,0.0,0.0,0.001977,0.001632,0.000345,0
23,1,4.319640159606934,3.00883412361145,555,0,0,555,0,23,23,0.0,0.0,0.00201,0.001665,0.000345,1
24,1,2.756120204925537,1.500615119934082,540,0,0,540,0,23,23,0.0,0.0,0.001965,0.00162,0.000345,1
25,1,2.966681718826294,1.8119099140167236,561,0,0,561,0,23,23,0.0,0.0,0.002028,0.001683,0.000345,1
26,1,3.3449900150299072,2.9280760288238525,527,0,0,527,0,23,23,0.0,0.0,0.001926,0.001581,0.000345,0
27,1,2.446542263031006,1.9327428340911865,531,0,0,531,0,23,23,0.0,0.0,0.001938,0.001593,0.000345,0
28,1,2.983369827270508,2.97652006149292,537,0,0,537,0,23,23,0.0,0.0,0.001956,0.001611,0.000345,0
29,1,3.7822718620300293,3.4919629096984863,541,0,0,541,0,23,23,0.0,0.0,0.001968,0.001623,0.000345,0
30,1,2.846693277359009,1.4056448936462402,519,0,0,519,0,23,23,0.0,0.0,0.001902,0.001557,0.000345,0
31,1,2.38175106048584,2.142179012298584,526,0,0,526,0,23,23,0.0,0.0,0.001923,0.001578,0.000345,1
32,1,2.9838931560516357,2.974248170852661,541,0,0,541,0,23,23,0.0,0.0,0.001968,0.001623,0.000345,0
33,1,4.330370903015137,1.8182940483093262,565,0,0,565,0,23,23,0.0,0.0,0.00204,0.001695,0.000345,0
34,1,4.4055187702178955,3.3372161388397217,521,0,0,521,0,23,23,0.0,0.0,0.001908,0.001563,0.000345,1
35,1,2.4330010414123535,1.7225749492645264,564,0,0,564,0,23,23,0.0,0.0,0.002037,0.001692,0.000345,0
36,1,2.947517156600952,1.3228070735931396,560,0,0,560,0,23,23,0.0,0.0,0.002025,0.00168,0.000345,0
37,1,3.483779191970825,2.562506914138794,551,0,0,551,0,23,23,0.0,0.0,0.001998,0.001653,0.000345,1
38,1,2.1391990184783936,1.6197669506072998,520,0,0,520,0,23,23,0.0,0.0,0.001905,0.00156,0.000345,0
39,1,5.35263204574585,4.1906843185424805,532,0,0,532,0,23,23,0.0,0.0,0.001941,0.001596,0.000345,0
40,1,2.5411667823791504,1.5944361686706543,532,0,0,532,0,23,23,0.0,0.0,0.001941,0.001596,0.000345,0
41,1,4.781499147415161,4.779000997543335,562,0,0,562,0,23,23,0.0,0.0,0.002031,0.001686,0.000345,0
42,1,3.7730019092559814,3.7257139682769775,556,0,0,556,0,23,23,0.0,0.0,0.002013,0.001668,0.000345,1
43,1,3.459188938140869,3.4571692943573,544,0,0,544,0,23,23,0.0,0.0,0.001977,0.001632,0.000345,1
44,1,4.2632880210876465,4.168298721313477,552,0,0,552,0,23,23,0.0,0.0,0.002001,0.001656,0.000345,0
45,1,3.207263946533203,3.204864978790283,543,0,0,543,0,23,23,0.0,0.0,0.001974,0.001629,0.000345,0
46,1,9.514627695083618,9.511813879013062,556,0,0,556,0,23,23,0.0,0.0,0.002013,0.001668,0.000345,1
