batch_number,num_tweets_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
1,2,1.2062089443206787,1.2035517692565918,471,0,0,471,0,28,28,0.0,0.0,0.0003195,0.0002355,8.4e-05
2,2,1.348052978515625,1.2963671684265137,485,0,0,485,0,27,27,0.0,0.0,0.0003235,0.0002425,8.1e-05
3,2,0.995175838470459,0.9929478168487549,456,0,0,456,0,29,29,0.0,0.0,0.000315,0.000228,8.7e-05
4,2,1.015937089920044,1.014775037765503,457,0,0,457,0,26,26,0.0,0.0,0.0003065,0.0002285,7.8e-05
5,2,1.2453980445861816,1.207287073135376,462,0,0,462,0,28,28,0.0,0.0,0.000315,0.000231,8.4e-05
6,2,1.207056999206543,1.20497727394104,465,0,0,465,0,28,28,0.0,0.0,0.0003165,0.0002325,8.4e-05
7,2,1.2206029891967773,1.2196688652038574,468,0,0,468,0,28,28,0.0,0.0,0.000318,0.000234,8.4e-05
8,2,1.1054160594940186,1.0605111122131348,479,0,0,479,0,29,29,0.0,0.0,0.0003265,0.0002395,8.7e-05
9,2,1.0282199382781982,0.9643409252166748,471,0,0,471,0,27,27,0.0,0.0,0.0003165,0.0002355,8.1e-05
10,2,1.042815923690796,1.0302700996398926,477,0,0,477,0,26,26,0.0,0.0,0.0003165,0.0002385,7.8e-05
11,2,1.0067269802093506,1.0056359767913818,443,0,0,443,0,29,29,0.0,0.0,0.0003085,0.0002215,8.7e-05
12,2,1.071810007095337,1.015303134918213,466,0,0,466,0,27,27,0.0,0.0,0.000314,0.000233,8.1e-05
13,2,1.0736620426177979,1.0729169845581055,472,0,0,472,0,27,27,0.0,0.0,0.000317,0.000236,8.1e-05
14,2,1.0439133644104004,1.0212690830230713,461,0,0,461,0,29,29,0.0,0.0,0.0003175,0.0002305,8.7e-05
15,2,1.1443290710449219,1.1038331985473633,468,0,0,468,0,29,29,0.0,0.0,0.000321,0.000234,8.7e-05
