batch_number,num_tweets_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
1,10,1.7086975574493408,0.5922939777374268,742,0,0,742,0,115,115,0.0,0.0,0.00358,0.001855,0.001725
2,10,2.097761869430542,0.8683021068572998,773,0,0,773,0,115,115,0.0,0.0,0.0036575,0.0019325,0.001725
3,10,1.8970842361450195,0.7939376831054688,723,0,0,723,0,116,116,0.0,0.0,0.0035475,0.0018075,0.00174
4,10,1.7301652431488037,0.7272322177886963,703,0,0,703,0,115,115,0.0,0.0,0.0034825,0.0017575,0.001725
5,10,1.8737375736236572,0.6830589771270752,735,0,0,735,0,115,115,0.0,0.0,0.0035625,0.0018375,0.001725
6,10,1.8916561603546143,0.6322634220123291,697,0,0,697,0,118,118,0.0,0.0,0.0035125,0.0017425,0.00177
7,10,1.6849629878997803,0.6325042247772217,690,0,0,690,0,117,117,0.0,0.0,0.00348,0.001725,0.001755
8,10,1.8885266780853271,0.722548246383667,702,0,0,702,0,115,115,0.0,0.0,0.00348,0.001755,0.001725
9,10,1.6951870918273926,0.6020824909210205,683,0,0,683,0,119,119,0.0,0.0,0.0034925,0.0017075,0.001785
10,10,2.1539318561553955,0.8811502456665039,727,0,0,727,0,119,119,0.0,0.0,0.0036025,0.0018175,0.001785
