batch_number,num_tweets_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
1,5,1.2631142139434814,0.8277995586395264,553,0,0,553,0,64,64,0.0,0.0,0.0001906,0.0001106,8e-05
2,5,1.11004638671875,0.7210922241210938,514,0,0,514,0,64,64,0.0,0.0,0.0001828,0.0001028,8e-05
3,5,2.1665897369384766,0.5444731712341309,552,0,0,552,0,66,66,0.0,0.0,0.0001929,0.0001104,8.25e-05
4,5,1.1988317966461182,0.7725152969360352,545,0,0,545,0,63,63,0.0,0.0,0.00018775,0.000109,7.875e-05
5,5,0.8430790901184082,0.4910914897918701,505,0,0,505,0,64,64,0.0,0.0,0.000181,0.000101,8e-05
6,5,1.0115432739257812,0.5093343257904053,543,0,0,543,0,66,66,0.0,0.0,0.0001911,0.0001086,8.25e-05
7,5,1.068805456161499,0.6724674701690674,503,0,0,503,0,66,66,0.0,0.0,0.0001831,0.0001006,8.25e-05
8,5,1.1880362033843994,0.7548267841339111,531,0,0,531,0,64,64,0.0,0.0,0.0001862,0.0001062,8e-05
9,5,0.9982128143310547,0.6969640254974365,528,0,0,528,0,66,66,0.0,0.0,0.0001881,0.0001056,8.25e-05
10,5,1.4590179920196533,0.6191856861114502,538,0,0,538,0,64,64,0.0,0.0,0.0001876,0.0001076,8e-05
11,5,1.222144365310669,0.7992801666259766,529,0,0,529,0,67,67,0.0,0.0,0.00018955,0.0001058,8.375e-05
12,5,1.0297491550445557,0.665980339050293,494,0,0,494,0,66,66,0.0,0.0,0.0001813,9.88e-05,8.25e-05
13,5,1.1023917198181152,1.0460569858551025,510,0,0,510,0,67,67,0.0,0.0,0.00018575,0.000102,8.375e-05
14,5,0.770197868347168,0.3513514995574951,507,0,0,507,0,66,66,0.0,0.0,0.0001839,0.0001014,8.25e-05
15,5,0.8858704566955566,0.5524513721466064,499,0,0,499,0,64,64,0.0,0.0,0.0001798,9.98e-05,8e-05
16,5,0.9685261249542236,0.41738414764404297,525,0,0,525,0,65,65,0.0,0.0,0.00018625,0.000105,8.125e-05
17,5,0.8442480564117432,0.394320011138916,500,0,0,500,0,66,66,0.0,0.0,0.0001825,0.0001,8.25e-05
18,5,4.242914199829102,0.7072756290435791,515,0,0,515,0,68,68,0.0,0.0,0.000188,0.000103,8.5e-05
19,5,1.2255585193634033,0.7138352394104004,533,0,0,533,0,66,66,0.0,0.0,0.0001891,0.0001066,8.25e-05
20,5,1.6018354892730713,0.6662554740905762,522,0,0,522,0,66,66,0.0,0.0,0.0001869,0.0001044,8.25e-05
