batch_number,num_tweets_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
1,2,0.966865062713623,0.8055744171142578,713,0,0,713,0,39,39,0.0,0.0,0.000908,0.000713,0.000195
2,2,1.6801478862762451,1.224799633026123,728,0,0,728,0,38,38,0.0,0.0,0.000918,0.000728,0.00019
3,2,1.175480604171753,0.9488554000854492,698,0,0,698,0,40,40,0.0,0.0,0.000898,0.000698,0.0002
4,2,1.343918800354004,1.197106122970581,696,0,0,696,0,37,37,0.0,0.0,0.000881,0.000696,0.000185
5,2,1.1710972785949707,1.0208766460418701,708,0,0,708,0,40,40,0.0,0.0,0.000908,0.000708,0.0002
6,2,1.2375903129577637,1.0916273593902588,714,0,0,714,0,39,39,0.0,0.0,0.000909,0.000714,0.000195
7,2,1.096351146697998,0.8926670551300049,710,0,0,710,0,38,38,0.0,0.0,0.0009,0.00071,0.00019
8,2,1.5519359111785889,1.3625152111053467,722,0,0,722,0,40,40,0.0,0.0,0.000922,0.000722,0.0002
9,2,1.0876069068908691,1.0868597030639648,710,0,0,710,0,38,38,0.0,0.0,0.0009,0.00071,0.00019
10,2,1.505509376525879,1.5046651363372803,724,0,0,724,0,38,38,0.0,0.0,0.000914,0.000724,0.00019
11,2,1.3257722854614258,1.1655194759368896,680,0,0,680,0,39,39,0.0,0.0,0.000875,0.00068,0.000195
12,2,1.42091703414917,1.216787338256836,712,0,0,712,0,38,38,0.0,0.0,0.000902,0.000712,0.00019
13,2,1.5447897911071777,1.5440235137939453,718,0,0,718,0,38,38,0.0,0.0,0.000908,0.000718,0.00019
14,2,1.2142918109893799,1.0382249355316162,704,0,0,704,0,40,40,0.0,0.0,0.000904,0.000704,0.0002
15,2,1.189847707748413,1.0206503868103027,708,0,0,708,0,40,40,0.0,0.0,0.000908,0.000708,0.0002
16,2,0.9600191116333008,0.8213906288146973,692,0,0,692,0,39,39,0.0,0.0,0.000887,0.000692,0.000195
17,2,1.164726972579956,0.9701352119445801,702,0,0,702,0,40,40,0.0,0.0,0.000902,0.000702,0.0002
18,2,1.5403196811676025,1.324927568435669,667,0,0,667,0,38,38,0.0,0.0,0.000857,0.000667,0.00019
19,2,2.339573383331299,2.1100215911865234,717,0,0,717,0,38,38,0.0,0.0,0.000907,0.000717,0.00019
20,2,0.997434139251709,0.8480405807495117,722,0,0,722,0,40,40,0.0,0.0,0.000922,0.000722,0.0002
21,2,1.043776035308838,0.9100403785705566,692,0,0,692,0,40,40,0.0,0.0,0.000892,0.000692,0.0002
22,2,1.2694666385650635,1.0746691226959229,703,0,0,703,0,38,38,0.0,0.0,0.000893,0.000703,0.00019
23,2,1.5319616794586182,1.3251819610595703,710,0,0,710,0,40,40,0.0,0.0,0.00091,0.00071,0.0002
24,2,1.425844430923462,1.2493431568145752,718,0,0,718,0,37,37,0.0,0.0,0.000903,0.000718,0.000185
25,2,1.2313721179962158,0.7110769748687744,711,0,0,711,0,39,39,0.0,0.0,0.000906,0.000711,0.000195
26,2,1.1098520755767822,0.8888044357299805,695,0,0,695,0,41,41,0.0,0.0,0.0009,0.000695,0.000205
27,2,1.2278804779052734,1.0904672145843506,730,0,0,730,0,40,40,0.0,0.0,0.00093,0.00073,0.0002
28,2,0.8902692794799805,0.7266902923583984,698,0,0,698,0,39,39,0.0,0.0,0.000893,0.000698,0.000195
29,2,1.5923516750335693,1.5812175273895264,679,0,0,679,0,40,40,0.0,0.0,0.000879,0.000679,0.0002
30,2,1.0892021656036377,0.9330341815948486,694,0,0,694,0,39,39,0.0,0.0,0.000889,0.000694,0.000195
31,2,1.284820556640625,0.8752679824829102,704,0,0,704,0,38,38,0.0,0.0,0.000894,0.000704,0.00019
32,2,0.9366600513458252,0.7677419185638428,690,0,0,690,0,40,40,0.0,0.0,0.00089,0.00069,0.0002
33,2,1.427297592163086,1.4264287948608398,693,0,0,693,0,39,39,0.0,0.0,0.000888,0.000693,0.000195
34,2,1.015559434890747,0.8743796348571777,701,0,0,701,0,40,40,0.0,0.0,0.000901,0.000701,0.0002
35,2,0.9313156604766846,0.7826576232910156,683,0,0,683,0,39,39,0.0,0.0,0.000878,0.000683,0.000195
36,2,1.615877628326416,1.4107334613800049,678,0,0,678,0,39,39,0.0,0.0,0.000873,0.000678,0.000195
37,2,1.2368335723876953,1.0152809619903564,697,0,0,697,0,38,38,0.0,0.0,0.000887,0.000697,0.00019
38,2,0.964409589767456,0.7977752685546875,719,0,0,719,0,39,39,0.0,0.0,0.000914,0.000719,0.000195
39,2,1.2390401363372803,1.089219331741333,700,0,0,700,0,38,38,0.0,0.0,0.00089,0.0007,0.00019
40,2,1.0013952255249023,0.7925424575805664,693,0,0,693,0,41,41,0.0,0.0,0.000898,0.000693,0.000205
41,2,1.4810376167297363,1.2585043907165527,669,0,0,669,0,39,39,0.0,0.0,0.000864,0.000669,0.000195
42,2,1.1710968017578125,0.9865353107452393,698,0,0,698,0,40,40,0.0,0.0,0.000898,0.000698,0.0002
43,2,1.3788468837738037,1.2241418361663818,697,0,0,697,0,40,40,0.0,0.0,0.000897,0.000697,0.0002
44,2,1.338712215423584,1.1069822311401367,691,0,0,691,0,41,41,0.0,0.0,0.000896,0.000691,0.000205
45,2,1.5390138626098633,1.366321325302124,708,0,0,708,0,39,39,0.0,0.0,0.000903,0.000708,0.000195
46,2,1.396559476852417,1.2292873859405518,706,0,0,706,0,39,39,0.0,0.0,0.000901,0.000706,0.000195
47,2,1.4364514350891113,1.2473254203796387,695,0,0,695,0,40,40,0.0,0.0,0.000895,0.000695,0.0002
48,2,1.145397424697876,0.8961715698242188,702,0,0,702,0,41,41,0.0,0.0,0.000907,0.000702,0.000205
49,2,1.1453096866607666,0.9434375762939453,686,0,0,686,0,39,39,0.0,0.0,0.000881,0.000686,0.000195
50,2,1.3828747272491455,1.2338554859161377,720,0,0,720,0,40,40,0.0,0.0,0.00092,0.00072,0.0002
