run_id,num_tweets_in_batch,batch_number,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
1,8,1,3.161822557449341,2.6676201820373535,996,0,0,996,0,134,134,0.0,0.0,0.001666,0.000996,0.00067
1,8,2,1.8130877017974854,1.2765471935272217,1015,0,0,1015,0,136,136,0.0,0.0,0.001695,0.001015,0.00068
1,8,3,1.5294899940490723,1.0270931720733643,986,0,0,986,0,132,132,0.0,0.0,0.001646,0.000986,0.00066
1,8,4,2.4404964447021484,1.8082118034362793,990,0,0,990,0,137,137,0.0,0.0,0.001675,0.00099,0.000685
1,8,5,1.5594522953033447,1.0332679748535156,967,0,0,967,0,135,135,0.0,0.0,0.001642,0.000967,0.000675
1,8,6,1.627042531967163,1.167215347290039,980,0,0,980,0,134,134,0.0,0.0,0.00165,0.00098,0.00067
1,8,7,1.55645751953125,1.0094642639160156,996,0,0,996,0,138,138,0.0,0.0,0.001686,0.000996,0.00069
1,8,8,1.771026372909546,1.2931725978851318,929,0,0,929,0,137,137,0.0,0.0,0.001614,0.000929,0.000685
1,8,9,2.2993528842926025,1.8603711128234863,917,0,0,917,0,135,135,0.0,0.0,0.001592,0.000917,0.000675
1,8,10,1.560291051864624,1.0567364692687988,975,0,0,975,0,135,135,0.0,0.0,0.00165,0.000975,0.000675
1,8,11,1.4739048480987549,0.7446236610412598,923,0,0,923,0,139,139,0.0,0.0,0.001618,0.000923,0.000695
1,8,12,1.5398433208465576,1.0179705619812012,972,0,0,972,0,138,138,0.0,0.0,0.001662,0.000972,0.00069
1,4,13,1.671452283859253,1.2922804355621338,793,0,0,793,0,72,72,0.0,0.0,0.001153,0.000793,0.00036
