batch_number,num_tweets_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost
1,5,2.2505037784576416,1.4688239097595215,871,0,0,871,0,68,68,0.0,0.0,0.003633,0.002613,0.00102
2,5,2.032891273498535,1.2952239513397217,829,0,0,829,0,67,67,0.0,0.0,0.003492,0.002487,0.001005
3,5,4.745725154876709,4.745030641555786,876,0,0,876,0,68,68,0.0,0.0,0.003648,0.002628,0.00102
4,5,2.739581823348999,1.8846988677978516,869,0,0,869,0,66,66,0.0,0.0,0.003597,0.002607,0.00099
5,5,2.104285717010498,1.3720688819885254,822,0,0,822,0,68,68,0.0,0.0,0.003486,0.002466,0.00102
6,5,1.9860386848449707,1.2531719207763672,866,0,0,866,0,68,68,0.0,0.0,0.003618,0.002598,0.00102
7,5,1.9191710948944092,1.227529764175415,814,0,0,814,0,69,69,0.0,0.0,0.003477,0.002442,0.001035
8,5,1.8448505401611328,1.0766801834106445,844,0,0,844,0,67,67,0.0,0.0,0.003537,0.002532,0.001005
9,5,8.320836544036865,7.580347537994385,838,0,0,838,0,68,68,0.0,0.0,0.003534,0.002514,0.00102
10,5,7.409270524978638,6.543761730194092,849,0,0,849,0,67,67,0.0,0.0,0.003552,0.002547,0.001005
11,5,2.443537473678589,1.3423857688903809,852,0,0,852,0,70,70,0.0,0.0,0.003606,0.002556,0.00105
12,5,2.43585205078125,1.0531644821166992,799,0,0,799,0,69,69,0.0,0.0,0.003432,0.002397,0.001035
13,5,2.3183071613311768,1.5888831615447998,822,0,0,822,0,69,69,0.0,0.0,0.003501,0.002466,0.001035
14,5,1.9367527961730957,1.2820556163787842,815,0,0,815,0,69,69,0.0,0.0,0.00348,0.002445,0.001035
15,5,2.9677298069000244,2.1593434810638428,813,0,0,813,0,68,68,0.0,0.0,0.003459,0.002439,0.00102
16,5,2.1145591735839844,1.173032283782959,845,0,0,845,0,68,68,0.0,0.0,0.003555,0.002535,0.00102
17,5,2.503368854522705,1.7952477931976318,806,0,0,806,0,69,69,0.0,0.0,0.003453,0.002418,0.001035
18,5,2.0446181297302246,1.1616666316986084,827,0,0,827,0,71,71,0.0,0.0,0.003546,0.002481,0.001065
19,5,2.3500149250030518,2.3395280838012695,833,0,0,833,0,69,69,0.0,0.0,0.003534,0.002499,0.001035
20,5,1.9939582347869873,1.2562849521636963,843,0,0,843,0,69,69,0.0,0.0,0.003564,0.002529,0.001035
