batch_number,num_tweets_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_irony
1,10,1.4431781768798828,0.9155142307281494,745,0,0,745,0,148,148,0.0,0.0,0.0008165,0.0003725,0.000444,5
2,10,1.7640511989593506,1.1704540252685547,765,0,0,765,0,147,147,0.0,0.0,0.0008235,0.0003825,0.000441,4
3,10,1.5789432525634766,1.0180261135101318,628,0,0,628,0,150,150,0.0,0.0,0.000764,0.000314,0.00045,5
4,10,1.6128921508789062,1.0785820484161377,728,0,0,728,0,147,147,0.0,0.0,0.000805,0.000364,0.000441,3
5,10,1.8138751983642578,0.9757099151611328,715,0,0,715,0,150,150,0.0,0.0,0.0008075,0.0003575,0.00045,3
6,10,1.8703539371490479,1.326420783996582,679,0,0,679,0,150,150,0.0,0.0,0.0007895,0.0003395,0.00045,3
7,10,1.6359989643096924,1.088332176208496,679,0,0,679,0,147,147,0.0,0.0,0.0007805,0.0003395,0.000441,4
8,10,1.841012954711914,1.187899112701416,684,0,0,684,0,150,150,0.0,0.0,0.000792,0.000342,0.00045,7
9,10,1.7435400485992432,1.4001948833465576,652,0,0,652,0,151,151,0.0,0.0,0.000779,0.000326,0.000453,3
10,10,1.649324893951416,1.025886058807373,727,0,0,727,0,149,149,0.0,0.0,0.0008105,0.0003635,0.000447,4
