batch_number,num_tweets_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_irony
1,5,2.5377604961395264,1.6240270137786865,456,0,0,456,0,72,72,0.0,0.0,0.00222,0.00114,0.00108,3
2,5,1.5140979290008545,0.6641805171966553,462,0,0,462,0,71,71,0.0,0.0,0.00222,0.001155,0.001065,3
3,5,1.532374382019043,0.8023409843444824,475,0,0,475,0,71,71,0.0,0.0,0.0022525,0.0011875,0.001065,3
4,5,1.506995677947998,1.0188908576965332,461,0,0,461,0,71,71,0.0,0.0,0.0022175,0.0011525,0.001065,2
5,5,1.436086893081665,0.7245087623596191,396,0,0,396,0,72,72,0.0,0.0,0.00207,0.00099,0.00108,1
6,5,1.3244142532348633,0.673882007598877,409,0,0,409,0,73,73,0.0,0.0,0.0021175,0.0010225,0.001095,3
7,5,1.4515349864959717,0.7528171539306641,455,0,0,455,0,72,72,0.0,0.0,0.0022175,0.0011375,0.00108,2
8,5,1.5315325260162354,0.8164339065551758,428,0,0,428,0,71,71,0.0,0.0,0.002135,0.00107,0.001065,2
9,5,1.5811896324157715,0.8333308696746826,437,0,0,437,0,72,72,0.0,0.0,0.0021725,0.0010925,0.00108,3
10,5,1.174248456954956,0.5655734539031982,450,0,0,450,0,73,73,0.0,0.0,0.00222,0.001125,0.001095,1
11,5,1.3575997352600098,0.7056314945220947,443,0,0,443,0,72,72,0.0,0.0,0.0021875,0.0011075,0.00108,1
12,5,1.383899450302124,0.6910359859466553,416,0,0,416,0,73,73,0.0,0.0,0.002135,0.00104,0.001095,1
13,5,1.2956478595733643,0.8056676387786865,447,0,0,447,0,71,71,0.0,0.0,0.0021825,0.0011175,0.001065,4
14,5,1.408154010772705,0.7897539138793945,405,0,0,405,0,71,71,0.0,0.0,0.0020775,0.0010125,0.001065,3
15,5,1.4020779132843018,0.6530964374542236,398,0,0,398,0,72,72,0.0,0.0,0.002075,0.000995,0.00108,3
16,5,1.6022050380706787,0.6845293045043945,458,0,0,458,0,73,73,0.0,0.0,0.00224,0.001145,0.001095,3
17,5,1.4299061298370361,0.6753590106964111,420,0,0,420,0,73,73,0.0,0.0,0.002145,0.00105,0.001095,1
18,5,1.477971076965332,0.7175066471099854,413,0,0,413,0,73,73,0.0,0.0,0.0021275,0.0010325,0.001095,2
19,5,1.4930846691131592,0.6824262142181396,430,0,0,430,0,73,73,0.0,0.0,0.00217,0.001075,0.001095,1
20,5,1.3020312786102295,0.6350345611572266,473,0,0,473,0,71,71,0.0,0.0,0.0022475,0.0011825,0.001065,3
