batch_number,num_tweets_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_irony
1,10,1.5644471645355225,0.7762477397918701,655,0,0,655,0,129,129,0.0,0.0,0.00029225,0.000131,0.00016125,2
2,10,2.087859869003296,1.06662917137146,675,0,0,675,0,128,128,0.0,0.0,0.000295,0.000135,0.00016,2
3,10,1.44744873046875,0.70005202293396,539,0,0,539,0,131,131,0.0,0.0,0.00027155,0.0001078,0.00016375,0
4,10,1.5374279022216797,0.6918890476226807,624,0,0,624,0,129,129,0.0,0.0,0.00028605,0.0001248,0.00016125,1
5,10,1.3433916568756104,0.5180072784423828,624,0,0,624,0,131,131,0.0,0.0,0.00028855,0.0001248,0.00016375,2
6,10,1.4514226913452148,0.6117024421691895,594,0,0,594,0,131,131,0.0,0.0,0.00028255,0.0001188,0.00016375,1
7,10,1.3565735816955566,0.5450096130371094,592,0,0,592,0,128,128,0.0,0.0,0.0002784,0.0001184,0.00016,1
8,10,1.695314884185791,0.6298568248748779,594,0,0,594,0,131,131,0.0,0.0,0.00028255,0.0001188,0.00016375,4
9,10,1.475139856338501,0.7089881896972656,572,0,0,572,0,132,132,0.0,0.0,0.0002794,0.0001144,0.000165,2
10,10,1.4866702556610107,0.7510089874267578,639,0,0,639,0,130,130,0.0,0.0,0.0002903,0.0001278,0.0001625,2
