item_id,batch_number_bs1,score_bs1,batch_number_bs2,score_bs2,batch_number_bs5,score_bs5,batch_number_bs10,score_bs10,batch_number_bs20,score_bs20,batch_number_bs25,score_bs25,batch_number_bs50,score_bs50,batch_number_bs100,score_bs100
2620,1,1.0,1,0.0,1,1.0,1,0.0,1,1.0,1,0.0,1,1.0,1,1.0
457,2,1.0,1,0.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
103,3,1.0,2,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
1127,4,0.0,2,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
1004,5,0.0,3,0.0,1,1.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0.0
915,6,0.0,3,1.0,2,0.0,1,0.0,1,0.0,1,0.0,1,1.0,1,0.0
572,7,1.0,4,1.0,2,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
420,8,1.0,4,0.0,2,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
2772,9,1.0,5,1.0,2,0.0,1,0.0,1,1.0,1,1.0,1,0.0,1,0.0
2234,10,1.0,5,1.0,2,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0
357,11,1.0,6,1.0,3,1.0,2,1.0,1,1.0,1,1.0,1,1.0,1,1.0
2419,12,0.0,6,0.0,3,0.0,2,1.0,1,1.0,1,0.0,1,0.0,1,0.0
1729,13,1.0,7,0.0,3,0.0,2,0.0,1,0.0,1,0.0,1,0.0,1,0.0
131,14,0.0,7,0.0,3,0.0,2,0.0,1,0.0,1,0.0,1,0.0,1,0.0
123,15,0.0,8,0.0,3,0.0,2,0.0,1,0.0,1,0.0,1,0.0,1,0.0
384,16,1.0,8,1.0,4,0.0,2,1.0,1,1.0,1,0.0,1,0.0,1,1.0
896,17,1.0,9,1.0,4,1.0,2,1.0,1,1.0,1,1.0,1,1.0,1,1.0
953,18,1.0,9,1.0,4,1.0,2,1.0,1,1.0,1,1.0,1,1.0,1,1.0
2070,19,1.0,10,1.0,4,1.0,2,0.0,1,1.0,1,1.0,1,1.0,1,0.0
2466,20,1.0,10,1.0,4,1.0,2,1.0,1,1.0,1,1.0,1,1.0,1,1.0
109,21,1.0,11,1.0,5,1.0,3,1.0,2,1.0,1,1.0,1,1.0,1,1.0
2299,22,0.0,11,0.0,5,0.0,3,0.0,2,0.0,1,0.0,1,0.0,1,0.0
815,23,1.0,12,1.0,5,1.0,3,1.0,2,1.0,1,1.0,1,1.0,1,1.0
2662,24,0.0,12,0.0,5,0.0,3,0.0,2,0.0,1,0.0,1,0.0,1,0.0
2233,25,1.0,13,1.0,5,1.0,3,1.0,2,1.0,1,1.0,1,1.0,1,1.0
1719,26,0.0,13,1.0,6,1.0,3,0.0,2,0.0,2,0.0,1,0.0,1,0.0
903,27,0.0,14,0.0,6,0.0,3,0.0,2,0.0,2,0.0,1,0.0,1,0.0
1840,28,1.0,14,1.0,6,0.0,3,0.0,2,0.0,2,0.0,1,0.0,1,0.0
2414,29,1.0,15,1.0,6,0.0,3,1.0,2,0.0,2,1.0,1,1.0,1,1.0
1140,30,1.0,15,1.0,6,1.0,3,1.0,2,1.0,2,1.0,1,1.0,1,1.0
27,31,0.0,16,0.0,7,1.0,4,0.0,2,0.0,2,1.0,1,1.0,1,0.0
654,32,1.0,16,1.0,7,1.0,4,1.0,2,1.0,2,1.0,1,1.0,1,1.0
2860,33,1.0,17,1.0,7,1.0,4,1.0,2,1.0,2,1.0,1,1.0,1,1.0
1732,34,1.0,17,1.0,7,0.0,4,1.0,2,1.0,2,0.0,1,0.0,1,0.0
1394,35,0.0,18,0.0,7,0.0,4,0.0,2,0.0,2,0.0,1,0.0,1,0.0
1139,36,0.0,18,0.0,8,0.0,4,0.0,2,0.0,2,0.0,1,0.0,1,0.0
637,37,1.0,19,1.0,8,1.0,4,1.0,2,1.0,2,1.0,1,1.0,1,1.0
882,38,0.0,19,1.0,8,1.0,4,1.0,2,0.0,2,1.0,1,1.0,1,0.0
1379,39,1.0,20,1.0,8,1.0,4,1.0,2,1.0,2,1.0,1,1.0,1,1.0
419,40,1.0,20,1.0,8,1.0,4,1.0,2,1.0,2,1.0,1,1.0,1,1.0
380,41,0.0,21,0.0,9,0.0,5,0.0,3,0.0,2,0.0,1,0.0,1,0.0
1557,42,0.0,21,0.0,9,0.0,5,0.0,3,0.0,2,0.0,1,0.0,1,0.0
