batch_number,num_tweets_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_irony
1,1,2.4191718101501465,2.3110923767089844,545,0,0,545,0,25,25,0.0,0.0,0.00067,0.000545,0.000125,1
2,1,1.3256566524505615,1.2015268802642822,552,0,0,552,0,24,24,0.0,0.0,0.000672,0.000552,0.00012,1
3,1,2.037097215652466,1.7150213718414307,569,0,0,569,0,24,24,0.0,0.0,0.000689,0.000569,0.00012,0
4,1,1.178901195526123,1.0387840270996094,558,0,0,558,0,25,25,0.0,0.0,0.000683,0.000558,0.000125,1
5,1,1.8915081024169922,1.530385971069336,556,0,0,556,0,25,25,0.0,0.0,0.000681,0.000556,0.000125,1
6,1,0.9684751033782959,0.8425273895263672,549,0,0,549,0,24,24,0.0,0.0,0.000669,0.000549,0.00012,1
7,1,12.249390602111816,12.066046714782715,572,0,0,572,0,24,24,0.0,0.0,0.000692,0.000572,0.00012,0
8,1,2.2452030181884766,2.158918857574463,551,0,0,551,0,24,24,0.0,0.0,0.000671,0.000551,0.00012,0
9,1,1.1590890884399414,1.0257294178009033,566,0,0,566,0,25,25,0.0,0.0,0.000691,0.000566,0.000125,1
10,1,1.0490238666534424,0.9328041076660156,569,0,0,569,0,25,25,0.0,0.0,0.000694,0.000569,0.000125,1
11,1,2.0377016067504883,1.895374059677124,579,0,0,579,0,24,24,0.0,0.0,0.000699,0.000579,0.00012,0
12,1,1.7868220806121826,1.6917006969451904,570,0,0,570,0,25,25,0.0,0.0,0.000695,0.00057,0.000125,1
13,1,1.1352169513702393,0.7350780963897705,544,0,0,544,0,25,25,0.0,0.0,0.000669,0.000544,0.000125,1
14,1,0.9814481735229492,0.822228193283081,571,0,0,571,0,24,24,0.0,0.0,0.000691,0.000571,0.00012,1
15,1,1.0746819972991943,0.9843354225158691,559,0,0,559,0,24,24,0.0,0.0,0.000679,0.000559,0.00012,1
16,1,1.1256232261657715,1.0109715461730957,559,0,0,559,0,24,24,0.0,0.0,0.000679,0.000559,0.00012,1
17,1,1.2345387935638428,1.07315993309021,555,0,0,555,0,24,24,0.0,0.0,0.000675,0.000555,0.00012,0
18,1,1.508739948272705,1.378119945526123,565,0,0,565,0,24,24,0.0,0.0,0.000685,0.000565,0.00012,1
19,1,1.1077394485473633,0.9818401336669922,565,0,0,565,0,25,25,0.0,0.0,0.00069,0.000565,0.000125,1
20,1,3.3084442615509033,3.154308557510376,560,0,0,560,0,25,25,0.0,0.0,0.000685,0.00056,0.000125,0
21,1,1.0430314540863037,0.896320104598999,543,0,0,543,0,24,24,0.0,0.0,0.000663,0.000543,0.00012,0
22,1,2.4423561096191406,2.4415509700775146,539,0,0,539,0,25,25,0.0,0.0,0.000664,0.000539,0.000125,0
23,1,1.3295743465423584,1.0816667079925537,549,0,0,549,0,24,24,0.0,0.0,0.000669,0.000549,0.00012,0
24,1,2.0756630897521973,1.9765076637268066,541,0,0,541,0,25,25,0.0,0.0,0.000666,0.000541,0.000125,1
25,1,1.0798959732055664,0.9265594482421875,557,0,0,557,0,25,25,0.0,0.0,0.000682,0.000557,0.000125,0
26,1,1.4030170440673828,1.2626094818115234,543,0,0,543,0,25,25,0.0,0.0,0.000668,0.000543,0.000125,1
27,1,0.8517348766326904,0.6953589916229248,557,0,0,557,0,24,24,0.0,0.0,0.000677,0.000557,0.00012,1
28,1,1.2579994201660156,1.1529347896575928,557,0,0,557,0,25,25,0.0,0.0,0.000682,0.000557,0.000125,1
29,1,1.4024956226348877,1.206125259399414,542,0,0,542,0,25,25,0.0,0.0,0.000667,0.000542,0.000125,1
30,1,1.2270121574401855,1.0645573139190674,548,0,0,548,0,25,25,0.0,0.0,0.000673,0.000548,0.000125,0
31,1,0.9663050174713135,0.8356873989105225,570,0,0,570,0,24,24,0.0,0.0,0.00069,0.00057,0.00012,1
32,1,0.9559314250946045,0.8243968486785889,560,0,0,560,0,24,24,0.0,0.0,0.00068,0.00056,0.00012,0
33,1,1.0618782043457031,0.9332873821258545,558,0,0,558,0,25,25,0.0,0.0,0.000683,0.000558,0.000125,0
34,1,1.0829463005065918,0.9769725799560547,555,0,0,555,0,25,25,0.0,0.0,0.00068,0.000555,0.000125,1
