batch_number,num_tweets_in_batch,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_irony
1,5,3.4366393089294434,2.5839293003082275,727,0,0,727,0,81,81,0.0,0.0,0.003396,0.002181,0.001215,3
2,5,2.553471088409424,1.7029767036437988,744,0,0,744,0,80,80,0.0,0.0,0.003432,0.002232,0.0012,3
3,5,2.08042049407959,1.3114371299743652,766,0,0,766,0,80,80,0.0,0.0,0.003498,0.002298,0.0012,3
4,5,2.5221893787384033,1.7424137592315674,743,0,0,743,0,80,80,0.0,0.0,0.003429,0.002229,0.0012,2
5,5,2.4748618602752686,1.6306278705596924,668,0,0,668,0,81,81,0.0,0.0,0.003219,0.002004,0.001215,2
6,5,2.6093122959136963,1.8072819709777832,689,0,0,689,0,82,82,0.0,0.0,0.003297,0.002067,0.00123,3
7,5,2.203779935836792,1.3498890399932861,737,0,0,737,0,81,81,0.0,0.0,0.003426,0.002211,0.001215,2
8,5,2.5074379444122314,1.7502479553222656,714,0,0,714,0,80,80,0.0,0.0,0.003342,0.002142,0.0012,1
9,5,2.744760036468506,1.9512438774108887,711,0,0,711,0,81,81,0.0,0.0,0.003348,0.002133,0.001215,2
10,5,2.0834569931030273,1.283639669418335,736,0,0,736,0,82,82,0.0,0.0,0.003438,0.002208,0.00123,1
11,5,3.242948055267334,2.4900856018066406,718,0,0,718,0,81,81,0.0,0.0,0.003369,0.002154,0.001215,1
12,5,2.317121744155884,1.520629644393921,695,0,0,695,0,82,82,0.0,0.0,0.003315,0.002085,0.00123,2
13,5,1.9664053916931152,1.1704869270324707,723,0,0,723,0,80,80,0.0,0.0,0.003369,0.002169,0.0012,2
14,5,5.8606276512146,4.766346216201782,679,0,0,679,0,80,80,0.0,0.0,0.003237,0.002037,0.0012,4
15,5,2.0203182697296143,1.2147026062011719,674,0,0,674,0,81,81,0.0,0.0,0.003237,0.002022,0.001215,3
16,5,2.335226535797119,1.7010352611541748,737,0,0,737,0,82,82,0.0,0.0,0.003441,0.002211,0.00123,2
17,5,2.301358461380005,1.5003397464752197,697,0,0,697,0,82,82,0.0,0.0,0.003321,0.002091,0.00123,1
18,5,2.1955156326293945,1.3969268798828125,690,0,0,690,0,82,82,0.0,0.0,0.0033,0.00207,0.00123,2
19,5,2.5418684482574463,1.6698307991027832,711,0,0,711,0,82,82,0.0,0.0,0.003363,0.002133,0.00123,2
20,5,2.359227180480957,1.5627806186676025,766,0,0,766,0,80,80,0.0,0.0,0.003498,0.002298,0.0012,3
