run_id,num_tweets_in_batch,batch_number,latency_secs,ttft_secs,input_text_tokens,total_cache_read_tokens,cache_creation_tokens,total_prompt_tokens,reasoning_tokens,output_text_tokens,total_completion_tokens,cache_read_cost,uncached_input_cost,total_cost,total_prompt_cost,total_completion_cost,num_irony
1,8,1,4.209606409072876,3.015981435775757,857,0,0,857,0,123,123,0.0,0.0,0.004416,0.002571,0.001845,6
1,8,2,2.539402484893799,1.351351022720337,911,0,0,911,0,124,124,0.0,0.0,0.004593,0.002733,0.00186,6
1,8,3,2.4499337673187256,1.272193431854248,812,0,0,812,0,124,124,0.0,0.0,0.004296,0.002436,0.00186,3
1,8,4,2.546879529953003,1.1938362121582031,830,0,0,830,0,125,125,0.0,0.0,0.004365,0.00249,0.001875,4
1,8,5,2.307950496673584,1.1435456275939941,837,0,0,837,0,125,125,0.0,0.0,0.004386,0.002511,0.001875,3
1,8,6,2.484713077545166,1.3158416748046875,850,0,0,850,0,125,125,0.0,0.0,0.004425,0.00255,0.001875,3
1,8,7,5.836026906967163,4.730352878570557,841,0,0,841,0,126,126,0.0,0.0,0.004413,0.002523,0.00189,1
1,8,8,2.1912074089050293,1.0042402744293213,815,0,0,815,0,124,124,0.0,0.0,0.004305,0.002445,0.00186,4
1,8,9,2.486555814743042,1.2983996868133545,799,0,0,799,0,124,124,0.0,0.0,0.004257,0.002397,0.00186,5
1,8,10,2.290614366531372,0.9934628009796143,832,0,0,832,0,126,126,0.0,0.0,0.004386,0.002496,0.00189,5
1,8,11,2.6728298664093018,1.4362659454345703,811,0,0,811,0,126,126,0.0,0.0,0.004323,0.002433,0.00189,2
1,8,12,3.0320465564727783,1.8433434963226318,806,0,0,806,0,126,126,0.0,0.0,0.004308,0.002418,0.00189,4
1,4,13,1.7849724292755127,1.0899324417114258,728,0,0,728,0,66,66,0.0,0.0,0.003174,0.002184,0.00099,2
